GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Apache Commons Collections,org.apache.commons.collections4.keyvalue,TiedMapEntry,0,109,2,20,0,22,2,16,0,7
Apache Commons Collections,org.apache.commons.collections4.keyvalue,AbstractMapEntry,23,47,8,12,4,9,7,7,1,3
Apache Commons Collections,org.apache.commons.collections4.keyvalue,UnmodifiableMapEntry,0,24,0,0,0,7,0,4,0,4
Apache Commons Collections,org.apache.commons.collections4.keyvalue,AbstractKeyValue,0,44,0,0,0,17,0,6,0,6
Apache Commons Collections,org.apache.commons.collections4.keyvalue,MultiKey,0,195,0,12,0,37,0,20,0,14
Apache Commons Collections,org.apache.commons.collections4.keyvalue,DefaultMapEntry,0,19,0,0,0,6,0,3,0,3
Apache Commons Collections,org.apache.commons.collections4.keyvalue,DefaultKeyValue,0,114,0,24,0,25,0,21,0,9
Apache Commons Collections,org.apache.commons.collections4.keyvalue,AbstractMapEntryDecorator,31,16,3,1,8,6,7,3,5,3
Apache Commons Collections,org.apache.commons.collections4.splitmap,TransformedSplitMap,15,103,0,8,6,24,2,13,2,9
Apache Commons Collections,org.apache.commons.collections4.splitmap,AbstractIterableGetMapDecorator,49,34,2,2,13,10,11,7,10,6
Apache Commons Collections,org.apache.commons.collections4.collection,AbstractCollectionDecorator,7,85,0,2,3,23,2,18,2,17
Apache Commons Collections,org.apache.commons.collections4.collection,TransformedCollection,0,103,0,8,0,21,0,11,0,7
Apache Commons Collections,org.apache.commons.collections4.collection,IndexedCollection,0,242,1,29,0,67,1,31,0,17
Apache Commons Collections,org.apache.commons.collections4.collection,UnmodifiableBoundedCollection,108,0,14,0,29,0,21,0,14,0
Apache Commons Collections,org.apache.commons.collections4.collection,PredicatedCollection,0,94,0,8,0,20,0,11,0,7
Apache Commons Collections,org.apache.commons.collections4.collection,CompositeCollection,32,411,4,56,4,108,4,52,0,26
Apache Commons Collections,org.apache.commons.collections4.collection,SynchronizedCollection,11,241,1,11,2,51,2,25,1,20
Apache Commons Collections,org.apache.commons.collections4.collection,PredicatedCollection.Builder,0,188,0,18,0,48,0,23,0,14
Apache Commons Collections,org.apache.commons.collections4.collection,UnmodifiableCollection,28,21,0,2,7,7,7,4,7,3
Apache Commons Collections,org.apache.commons.collections4.comparators,TransformingComparator,0,115,0,22,0,22,0,16,0,5
Apache Commons Collections,org.apache.commons.collections4.comparators,ReverseComparator,0,54,0,8,0,15,0,9,0,5
Apache Commons Collections,org.apache.commons.collections4.comparators,BooleanComparator,0,86,0,14,0,18,0,17,0,10
Apache Commons Collections,org.apache.commons.collections4.comparators,ComparableComparator,3,30,2,4,1,7,3,6,1,5
Apache Commons Collections,org.apache.commons.collections4.comparators,FixedOrderComparator.UnknownObjectBehavior,0,34,0,0,0,2,0,1,0,1
Apache Commons Collections,org.apache.commons.collections4.comparators,FixedOrderComparator,25,353,11,53,1,62,9,36,0,12
Apache Commons Collections,org.apache.commons.collections4.comparators,NullComparator,0,106,0,24,0,23,0,19,0,7
Apache Commons Collections,org.apache.commons.collections4.comparators,ComparatorChain,11,278,5,37,3,74,5,34,0,18
Apache Commons Collections,org.apache.commons.collections4.properties,AbstractPropertiesFactory,87,3,2,0,24,2,9,1,8,1
Apache Commons Collections,org.apache.commons.collections4.properties,PropertiesFactory,0,9,0,0,0,2,0,2,0,2
Apache Commons Collections,org.apache.commons.collections4.properties,SortedPropertiesFactory,0,9,0,0,0,2,0,2,0,2
Apache Commons Collections,org.apache.commons.collections4.properties,SortedProperties,0,35,0,2,0,8,0,3,0,2
Apache Commons Collections,org.apache.commons.collections4.sequence,KeepCommand,0,9,0,0,0,4,0,2,0,2
Apache Commons Collections,org.apache.commons.collections4.sequence,DeleteCommand,0,9,0,0,0,4,0,2,0,2
Apache Commons Collections,org.apache.commons.collections4.sequence,SequencesComparator,5,558,3,79,1,79,3,44,0,6
Apache Commons Collections,org.apache.commons.collections4.sequence,SequencesComparator.Snake,0,21,0,0,0,8,0,4,0,4
Apache Commons Collections,org.apache.commons.collections4.sequence,ReplacementsFinder,0,65,0,4,0,17,0,6,0,4
Apache Commons Collections,org.apache.commons.collections4.sequence,EditCommand,0,9,0,0,0,4,0,2,0,2
Apache Commons Collections,org.apache.commons.collections4.sequence,InsertCommand,0,9,0,0,0,4,0,2,0,2
Apache Commons Collections,org.apache.commons.collections4.sequence,EditScript,0,72,0,2,0,20,0,8,0,7
Apache Commons Collections,org.apache.commons.collections4.trie.analyzer,StringKeyAnalyzer,0,189,0,34,0,40,0,25,0,8
Apache Commons Collections,org.apache.commons.collections4.bag,AbstractMapBag,184,455,23,59,45,121,20,48,2,25
Apache Commons Collections,org.apache.commons.collections4.bag,PredicatedBag,0,55,0,4,0,11,0,11,0,9
Apache Commons Collections,org.apache.commons.collections4.bag,SynchronizedBag,0,103,0,2,0,21,0,11,0,10
Apache Commons Collections,org.apache.commons.collections4.bag,AbstractMapBag.BagIterator,15,101,3,11,3,24,3,8,0,4
Apache Commons Collections,org.apache.commons.collections4.bag,PredicatedSortedBag,0,27,0,0,0,7,0,6,0,6
Apache Commons Collections,org.apache.commons.collections4.bag,AbstractSortedBagDecorator,3,20,0,0,2,6,1,5,1,5
Apache Commons Collections,org.apache.commons.collections4.bag,UnmodifiableSortedBag,50,27,0,2,15,8,10,6,10,5
Apache Commons Collections,org.apache.commons.collections4.bag,SynchronizedBag.SynchronizedBagSet,0,8,0,0,0,3,0,1,0,1
Apache Commons Collections,org.apache.commons.collections4.bag,AbstractBagDecorator,9,39,0,4,3,8,2,9,2,7
Apache Commons Collections,org.apache.commons.collections4.bag,SynchronizedSortedBag,0,51,0,0,0,12,0,7,0,7
Apache Commons Collections,org.apache.commons.collections4.bag,TransformedSortedBag,0,67,0,4,0,14,0,9,0,7
Apache Commons Collections,org.apache.commons.collections4.bag,TransformedBag,0,99,0,8,0,18,0,14,0,10
Apache Commons Collections,org.apache.commons.collections4.bag,AbstractMapBag.MutableInteger,18,6,4,0,4,3,4,1,2,1
Apache Commons Collections,org.apache.commons.collections4.bag,TreeBag,24,69,0,6,8,16,2,11,2,8
Apache Commons Collections,org.apache.commons.collections4.bag,CollectionBag,97,48,18,6,28,16,18,5,7,4
Apache Commons Collections,org.apache.commons.collections4.bag,CollectionSortedBag,21,124,4,20,7,37,6,17,2,9
Apache Commons Collections,org.apache.commons.collections4.bag,UnmodifiableBag,58,21,0,2,17,7,12,4,12,3
Apache Commons Collections,org.apache.commons.collections4.bag,HashBag,15,13,0,0,6,5,2,2,2,2
Apache Commons Collections,org.apache.commons.collections4.trie,AbstractPatriciaTrie.RangeEntryMap,177,0,34,0,37,0,27,0,10,0
Apache Commons Collections,org.apache.commons.collections4.trie,AbstractPatriciaTrie.PrefixRangeEntrySet,81,0,6,0,15,0,6,0,3,0
Apache Commons Collections,org.apache.commons.collections4.trie,AbstractPatriciaTrie.KeySet.KeyIterator,12,0,0,0,2,0,2,0,2,0
Apache Commons Collections,org.apache.commons.collections4.trie,AbstractPatriciaTrie.RangeMap,283,0,50,0,46,0,39,0,14,0
Apache Commons Collections,org.apache.commons.collections4.trie,AbstractPatriciaTrie.KeySet,41,0,2,0,9,0,7,0,6,0
Apache Commons Collections,org.apache.commons.collections4.trie,AbstractPatriciaTrie.TrieIterator,84,21,9,1,21,5,9,2,4,2
Apache Commons Collections,org.apache.commons.collections4.trie,AbstractPatriciaTrie.TrieEntry,224,26,25,1,33,8,16,2,3,2
Apache Commons Collections,org.apache.commons.collections4.trie,AbstractPatriciaTrie.RangeEntrySet.EntryIterator,48,0,10,0,8,0,8,0,3,0
Apache Commons Collections,org.apache.commons.collections4.trie,AbstractPatriciaTrie.RangeEntrySet,178,0,30,0,42,0,21,0,6,0
Apache Commons Collections,org.apache.commons.collections4.trie,AbstractPatriciaTrie.EntrySet,52,12,10,0,14,2,9,2,4,2
Apache Commons Collections,org.apache.commons.collections4.trie,KeyAnalyzer,0,47,0,14,0,10,0,13,0,6
Apache Commons Collections,org.apache.commons.collections4.trie,UnmodifiableTrie,117,31,1,3,26,10,24,5,23,4
Apache Commons Collections,org.apache.commons.collections4.trie,AbstractPatriciaTrie.Values.ValueIterator,12,0,0,0,2,0,2,0,2,0
Apache Commons Collections,org.apache.commons.collections4.trie,PatriciaTrie,0,13,0,0,0,4,0,2,0,2
Apache Commons Collections,org.apache.commons.collections4.trie,AbstractPatriciaTrie.EntrySet.EntryIterator,3,8,0,0,1,1,1,1,1,1
Apache Commons Collections,org.apache.commons.collections4.trie,AbstractPatriciaTrie.PrefixRangeEntrySet.SingletonIterator,57,0,6,0,14,0,7,0,4,0
Apache Commons Collections,org.apache.commons.collections4.trie,AbstractBitwiseTrie.BasicEntry,87,9,12,0,22,4,14,1,8,1
Apache Commons Collections,org.apache.commons.collections4.trie,AbstractPatriciaTrie.TrieMapIterator,99,0,12,0,25,0,15,0,9,0
Apache Commons Collections,org.apache.commons.collections4.trie,AbstractPatriciaTrie.Reference,7,0,0,0,3,0,2,0,2,0
Apache Commons Collections,org.apache.commons.collections4.trie,AbstractPatriciaTrie.PrefixRangeEntrySet.EntryIterator,89,0,10,0,22,0,9,0,4,0
Apache Commons Collections,org.apache.commons.collections4.trie,AbstractPatriciaTrie,1735,134,286,10,402,34,188,11,40,11
Apache Commons Collections,org.apache.commons.collections4.trie,AbstractPatriciaTrie.PrefixRangeMap,315,0,40,0,64,0,35,0,15,0
Apache Commons Collections,org.apache.commons.collections4.trie,AbstractPatriciaTrie.Values,45,0,4,0,13,0,8,0,6,0
Apache Commons Collections,org.apache.commons.collections4.trie,AbstractBitwiseTrie,104,26,17,3,19,9,16,4,6,4
Apache Commons Collections,org.apache.commons.collections4.list,NodeCachingLinkedList,16,144,1,11,7,48,3,17,2,12
Apache Commons Collections,org.apache.commons.collections4.list,TreeList,0,264,0,18,0,54,0,25,0,16
Apache Commons Collections,org.apache.commons.collections4.list,SetUniqueList.SetListIterator,12,17,0,0,4,6,1,2,1,2
Apache Commons Collections,org.apache.commons.collections4.list,PredicatedList.PredicatedListIterator,9,16,0,0,3,6,1,2,1,2
Apache Commons Collections,org.apache.commons.collections4.list,AbstractSerializableListDecorator,15,4,0,0,6,2,2,1,2,1
Apache Commons Collections,org.apache.commons.collections4.list,TransformedList,0,147,0,8,0,28,0,20,0,16
Apache Commons Collections,org.apache.commons.collections4.list,FixedSizeList,0,94,0,0,0,25,0,23,0,23
Apache Commons Collections,org.apache.commons.collections4.list,FixedSizeList.FixedSizeListIterator,4,7,0,0,2,3,2,1,2,1
Apache Commons Collections,org.apache.commons.collections4.list,AbstractLinkedList,319,493,53,47,79,119,45,54,11,38
Apache Commons Collections,org.apache.commons.collections4.list,CursorableLinkedList.SubCursor,0,70,0,4,0,14,0,8,0,6
Apache Commons Collections,org.apache.commons.collections4.list,AbstractLinkedList.LinkedListIterator,63,148,6,8,12,38,6,13,1,11
Apache Commons Collections,org.apache.commons.collections4.list,TransformedList.TransformedListIterator,0,27,0,0,0,9,0,3,0,3
Apache Commons Collections,org.apache.commons.collections4.list,UnmodifiableList,37,50,0,2,8,14,7,11,7,10
Apache Commons Collections,org.apache.commons.collections4.list,AbstractListDecorator,8,72,0,4,3,15,2,15,2,13
Apache Commons Collections,org.apache.commons.collections4.list,GrowthList,0,100,0,10,0,22,0,12,0,7
Apache Commons Collections,org.apache.commons.collections4.list,CursorableLinkedList.Cursor,16,167,2,24,5,48,2,20,0,9
Apache Commons Collections,org.apache.commons.collections4.list,AbstractLinkedList.Node,4,44,0,0,2,19,1,8,1,8
Apache Commons Collections,org.apache.commons.collections4.list,CursorableLinkedList,24,213,4,22,10,74,6,27,2,18
Apache Commons Collections,org.apache.commons.collections4.list,SetUniqueList,24,305,1,27,3,73,1,34,0,21
Apache Commons Collections,org.apache.commons.collections4.list,AbstractLinkedList.LinkedSubList,128,183,3,13,21,42,7,15,4,10
Apache Commons Collections,org.apache.commons.collections4.list,SetUniqueList.SetListListIterator,19,36,1,1,6,11,3,4,2,4
Apache Commons Collections,org.apache.commons.collections4.list,AbstractLinkedList.LinkedSubListIterator,37,32,2,2,8,6,4,4,2,4
Apache Commons Collections,org.apache.commons.collections4.list,PredicatedList,0,114,0,6,0,23,0,18,0,15
Apache Commons Collections,org.apache.commons.collections4.list,TreeList.AVLNode,213,891,29,119,54,208,22,86,2,31
Apache Commons Collections,org.apache.commons.collections4.list,LazyList,103,36,14,0,24,10,10,4,3,4
Apache Commons Collections,org.apache.commons.collections4.list,TreeList.TreeListIterator,0,250,1,21,0,57,1,21,0,11
Apache Commons Collections,org.apache.commons.collections4.functors,ComparatorPredicate,15,90,1,19,1,25,1,15,0,4
Apache Commons Collections,org.apache.commons.collections4.functors,MapTransformer,3,20,0,2,1,7,1,4,1,3
Apache Commons Collections,org.apache.commons.collections4.functors,ExceptionPredicate,2,12,0,0,1,3,1,3,1,3
Apache Commons Collections,org.apache.commons.collections4.functors,PrototypeFactory.PrototypeSerializationFactory,14,47,1,1,6,15,1,2,0,2
Apache Commons Collections,org.apache.commons.collections4.functors,InstantiateTransformer,14,104,1,23,4,23,1,17,0,6
Apache Commons Collections,org.apache.commons.collections4.functors,OrPredicate,0,51,0,8,0,9,0,8,0,4
Apache Commons Collections,org.apache.commons.collections4.functors,NotNullPredicate,2,13,0,2,1,3,1,4,1,3
Apache Commons Collections,org.apache.commons.collections4.functors,FactoryTransformer,0,25,0,2,0,8,0,5,0,4
Apache Commons Collections,org.apache.commons.collections4.functors,NonePredicate,0,55,0,8,0,14,0,8,0,4
Apache Commons Collections,org.apache.commons.collections4.functors,ComparatorPredicate.Criterion,0,54,0,0,0,2,0,1,0,1
Apache Commons Collections,org.apache.commons.collections4.functors,ForClosure,0,45,0,8,0,14,0,9,0,5
Apache Commons Collections,org.apache.commons.collections4.functors,StringValueTransformer,2,10,0,0,1,3,1,3,1,3
Apache Commons Collections,org.apache.commons.collections4.functors,WhileClosure,0,60,0,8,0,18,0,10,0,6
Apache Commons Collections,org.apache.commons.collections4.functors,UniquePredicate,0,17,0,0,0,5,0,3,0,3
Apache Commons Collections,org.apache.commons.collections4.functors,ChainedTransformer,5,77,1,9,1,19,1,10,0,6
Apache Commons Collections,org.apache.commons.collections4.functors,TransformerClosure,0,24,0,2,0,9,0,5,0,4
Apache Commons Collections,org.apache.commons.collections4.functors,NullPredicate,2,13,0,2,1,3,1,4,1,3
Apache Commons Collections,org.apache.commons.collections4.functors,InstanceofPredicate,0,26,0,2,0,8,0,5,0,4
Apache Commons Collections,org.apache.commons.collections4.functors,AbstractQuantifierPredicate,0,10,0,0,0,4,0,2,0,2
Apache Commons Collections,org.apache.commons.collections4.functors,AnyPredicate,0,71,0,12,0,18,0,10,0,4
Apache Commons Collections,org.apache.commons.collections4.functors,IdentityPredicate,0,26,0,4,0,8,0,6,0,4
Apache Commons Collections,org.apache.commons.collections4.functors,IfTransformer,0,80,0,12,0,21,0,13,0,7
Apache Commons Collections,org.apache.commons.collections4.functors,CatchAndRethrowClosure,17,0,0,0,8,0,2,0,2,0
Apache Commons Collections,org.apache.commons.collections4.functors,PredicateTransformer,0,27,0,2,0,8,0,5,0,4
Apache Commons Collections,org.apache.commons.collections4.functors,ExceptionFactory,2,12,0,0,1,3,1,3,1,3
Apache Commons Collections,org.apache.commons.collections4.functors,SwitchTransformer,89,83,14,12,19,20,12,9,2,6
Apache Commons Collections,org.apache.commons.collections4.functors,EqualPredicate,0,51,0,6,0,16,0,9,0,6
Apache Commons Collections,org.apache.commons.collections4.functors,NullIsExceptionPredicate,0,38,0,4,0,10,0,6,0,4
Apache Commons Collections,org.apache.commons.collections4.functors,ConstantTransformer,0,74,0,14,0,20,0,15,0,8
Apache Commons Collections,org.apache.commons.collections4.functors,InstantiateFactory,23,108,2,20,7,27,2,14,0,5
Apache Commons Collections,org.apache.commons.collections4.functors,NullIsFalsePredicate,0,35,0,4,0,10,0,6,0,4
Apache Commons Collections,org.apache.commons.collections4.functors,PrototypeFactory,0,66,0,4,0,13,0,3,0,1
Apache Commons Collections,org.apache.commons.collections4.functors,NOPTransformer,2,9,0,0,1,3,1,3,1,3
Apache Commons Collections,org.apache.commons.collections4.functors,CloneTransformer,0,15,0,2,0,5,0,4,0,3
Apache Commons Collections,org.apache.commons.collections4.functors,DefaultEquator,2,27,0,8,1,4,1,8,1,4
Apache Commons Collections,org.apache.commons.collections4.functors,PrototypeFactory.PrototypeCloneFactory,33,20,1,1,10,6,2,2,1,2
Apache Commons Collections,org.apache.commons.collections4.functors,ChainedClosure,0,95,0,12,0,24,0,12,0,6
Apache Commons Collections,org.apache.commons.collections4.functors,ConstantFactory,0,27,0,2,0,9,0,6,0,5
Apache Commons Collections,org.apache.commons.collections4.functors,ClosureTransformer,0,27,0,2,0,9,0,5,0,4
Apache Commons Collections,org.apache.commons.collections4.functors,FalsePredicate,2,9,0,0,1,3,1,3,1,3
Apache Commons Collections,org.apache.commons.collections4.functors,NullIsTruePredicate,0,35,0,4,0,10,0,6,0,4
Apache Commons Collections,org.apache.commons.collections4.functors,InvokerTransformer,56,122,1,27,8,26,1,18,0,5
Apache Commons Collections,org.apache.commons.collections4.functors,FunctorUtils,4,180,0,30,2,39,2,23,2,8
Apache Commons Collections,org.apache.commons.collections4.functors,TransformedPredicate,0,50,0,4,0,13,0,7,0,5
Apache Commons Collections,org.apache.commons.collections4.functors,SwitchClosure,13,154,2,22,4,34,2,18,0,8
Apache Commons Collections,org.apache.commons.collections4.functors,ExceptionClosure,2,12,0,0,1,3,1,3,1,3
Apache Commons Collections,org.apache.commons.collections4.functors,IfClosure,0,70,0,8,0,20,0,12,0,8
Apache Commons Collections,org.apache.commons.collections4.functors,OnePredicate,12,52,4,6,4,13,2,7,0,4
Apache Commons Collections,org.apache.commons.collections4.functors,AndPredicate,0,51,0,8,0,9,0,8,0,4
Apache Commons Collections,org.apache.commons.collections4.functors,AllPredicate,0,73,0,12,0,18,0,10,0,4
Apache Commons Collections,org.apache.commons.collections4.functors,TruePredicate,2,9,0,0,1,3,1,3,1,3
Apache Commons Collections,org.apache.commons.collections4.functors,ExceptionTransformer,2,12,0,0,1,3,1,3,1,3
Apache Commons Collections,org.apache.commons.collections4.functors,NotPredicate,0,35,0,4,0,8,0,6,0,4
