model,kind,testsuite,program,total_mutants,Sn,C,estimator,estimate,CILower,CIUpper
abundance,class,organic,commons-csv,635,496,0.87,Chao2,729.69,656.89,835.432
abundance,class,organic,commons-csv,635,496,0.87,Chao2-bc,725.615,654.193,829.285
abundance,class,organic,commons-csv,635,496,0.87,iChao2,772.419,717.78,840.52
abundance,class,organic,commons-csv,635,496,0.87,ICE,703.126,650.864,773.026
abundance,class,organic,commons-csv,635,496,0.87,ICE-1,787.991,705.737,902.502
abundance,class,organic,commons-csv,635,496,0.87,Jack1,680.615,647.223,721.382
abundance,class,organic,commons-csv,635,496,0.87,Jack2,788.571,733.713,856.088
abundance,class,organic,commons-collections,8306,3462,0.627,Chao2,6904.939,6534.79,7319.676
abundance,class,organic,commons-collections,8306,3462,0.627,Chao2-bc,6898.855,6529.477,7312.713
abundance,class,organic,commons-collections,8306,3462,0.627,iChao2,7471.071,7184.542,7779.654
abundance,class,organic,commons-collections,8306,3462,0.627,ICE,8158.92,7658.255,8719.321
abundance,class,organic,commons-collections,8306,3462,0.627,ICE-1,10492.268,9481.87,11672.255
abundance,class,organic,commons-collections,8306,3462,0.627,Jack1,5726.139,5598.314,5861.612
abundance,class,organic,commons-collections,8306,3462,0.627,Jack2,7238.951,7018.89,7472.628
abundance,class,organic,commons-compress,9520,6515,0.943,Chao2,7866.043,7711.581,8040.444
abundance,class,organic,commons-compress,9520,6515,0.943,Chao2-bc,7864.127,7709.868,8038.3
abundance,class,organic,commons-compress,9520,6515,0.943,iChao2,8203.481,8114.549,8297.357
abundance,class,organic,commons-compress,9520,6515,0.943,ICE,7788.023,7669.699,7918.471
abundance,class,organic,commons-compress,9520,6515,0.943,ICE-1,8071.27,7915.842,8243.944
abundance,class,organic,commons-compress,9520,6515,0.943,Jack1,8282.508,8169.972,8402.696
abundance,class,organic,commons-compress,9520,6515,0.943,Jack2,8897.933,8705.775,9106.945
abundance,class,organic,commons-configuration,6163,4847,0.967,Chao2,6634.503,6402.187,6901.522
abundance,class,organic,commons-configuration,6163,4847,0.967,Chao2-bc,6630.184,6398.486,6896.483
abundance,class,organic,commons-configuration,6163,4847,0.967,iChao2,7032.638,6867.363,7211.433
