estimator,mae,mae_total,mape,mse,rsme,std,std_total,stdp,nValid
Bootstrap,5563.73,36.6,36.89,128141634.7,11319.97,10391.59,20.66,20.87,10
ICE_k0,3658.88,49.1,49.32,26328639.29,5131.14,3791.98,46.13,46.36,10
Chao,3456.83,19.65,19.84,67521373.05,8217.14,7857.88,13.69,13.99,10
ICE,3848.62,27.75,27.96,63360897.19,7959.96,7344.61,15.18,15.42,10
ICE-1,4547.9,52.12,52.37,44487088.94,6669.86,5142.81,42.31,42.43,10
iChao,3336.95,22.32,22.53,55817198.25,7471.09,7046.04,14.36,14.62,10
Chao_Bunge,1077.38,34.18,34.55,2187126.36,1478.89,1132.68,41.74,42.34,5
Jackknife,3618.67,36.96,37.28,37565994.09,6129.11,5214.43,25.2,25.55,10
PCG,3030.69,57.47,57.68,15485783.2,3935.2,2683.44,51.79,51.73,8
Pnpmle,3457.47,55.49,55.74,22059408.7,4696.74,3350.84,44.39,44.48,10
Unpmle,1970.05,35.27,35.52,5547236.41,2355.26,1394.21,19.19,19.34,7
Zelterman,3273.9,20.5,20.72,57663671.39,7593.66,7222.28,15.96,16.24,10
