estimator,mae,mae_total,mape,mse,rsme,std,std_total,stdp,nValid
Bootstrap,5815.65,38.87,39.14,139253756.85,11800.58,10823.43,24.58,24.79,10
ICE_k0,5912.71,76.89,77.93,83548285.02,9140.48,7393.36,76.28,77.5,9
Chao,5734.27,38.86,39.1,135352621.84,11634.11,10670.35,24.62,24.87,10
ICE,5721.0,39.0,39.24,132526609.29,11512.02,10530.21,24.54,24.77,10
ICE-1,5668.68,39.52,39.76,123739660.64,11123.83,10088.81,22.67,22.88,10
iChao,5717.51,39.22,39.46,130478711.21,11422.73,10423.74,22.78,23.01,10
Chao_Bunge,5566.34,40.54,40.78,109081911.11,10444.23,9315.33,22.15,22.32,10
Jackknife,5614.54,39.0,39.26,121236202.82,11010.73,9984.05,24.74,24.92,10
PCG,6452.99,42.19,42.44,154155444.45,12415.94,11250.72,39.75,39.96,9
Pnpmle,5922.84,49.22,49.48,107196082.35,10353.55,8951.48,42.48,42.58,10
Unpmle,6904.56,39.18,39.49,184714115.14,13590.96,12644.42,26.5,26.84,7
Zelterman,5603.02,38.93,39.18,122559431.77,11070.66,10064.55,20.38,20.59,10
