estimator,mae,mae_total,mape,mse,rsme,std,std_total,stdp,nValid
Bootstrap,1714.52,16.78,16.87,7009102.59,2647.47,2126.42,19.14,19.23,10
ICE_k0,3326.22,35.01,35.2,32849776.41,5731.47,4950.69,51.25,51.38,9
Chao,4136.56,31.65,32.42,50408445.71,7099.89,6120.42,40.68,42.55,9
ICE,5061.33,40.15,41.15,79924070.28,8940.03,7816.35,55.34,57.87,9
ICE-1,3635.06,39.88,40.15,28238837.9,5314.02,4143.87,43.26,43.49,8
iChao,4419.49,34.98,35.85,61460776.53,7839.69,6868.04,47.4,49.53,9
Chao_Bunge,2724.73,22.63,22.8,21235346.47,4608.18,4014.11,18.94,19.04,7
Jackknife,4295.05,40.27,41.17,61508470.5,7842.73,6917.05,51.54,53.54,10
PCG,5050.25,43.7,43.88,46178288.49,6795.46,4980.75,39.47,39.47,6
Pnpmle,6546.64,64.47,64.85,92140037.04,9598.96,7504.78,34.78,34.83,8
Unpmle,2618.47,31.53,31.84,17168193.63,4143.45,3517.69,31.36,31.79,6
Zelterman,4256.65,35.73,36.64,61136667.12,7818.99,6956.64,49.73,51.81,9
