estimator,mae,mae_total,mape,mse,rsme,std,std_total,stdp,nValid
Bootstrap,2144.84,18.33,18.48,10731070.61,3275.83,2609.96,19.85,19.94,10
ICE_k0,1795.7,19.04,19.18,8035410.72,2834.68,2344.81,20.48,20.61,8
Chao,2316.24,16.76,16.91,15803275.66,3975.33,3426.82,15.98,16.06,9
ICE,2431.64,17.96,18.12,16144460.1,4018.02,3392.72,16.07,16.14,9
ICE-1,2436.37,16.58,16.82,16073079.27,4009.12,3377.03,12.59,12.8,9
iChao,2283.88,15.86,16.03,15440154.97,3929.4,3391.47,14.39,14.47,9
Chao_Bunge,3399.75,21.52,22.22,45591897.9,6752.18,6187.71,41.98,43.8,9
Jackknife,2294.83,15.08,15.33,14866729.67,3855.74,3286.42,10.24,10.56,9
PCG,1851.09,7.95,8.04,15897231.62,3987.13,3814.33,10.1,10.21,7
Pnpmle,2111.51,17.58,17.76,13522440.62,3677.29,3193.27,16.12,16.17,9
Unpmle,1815.65,10.97,11.11,12126760.93,3482.35,3132.3,9.72,9.82,10
Zelterman,2263.17,15.15,15.36,15166222.98,3894.38,3361.52,12.27,12.48,9
