estimator,mae,mape,mse,rsme,std,nValid
Bootstrap,7833.653513063945,0.49982697909687807,198243565.96328208,14079.89935913187,12636.86452542587,7
ICE_k0,319.1099076996197,0.055764852579786126,101831.13319205982,319.1099076996197,,1
Chao,6829.640875000001,0.4382696515163668,168514111.3709139,12981.298524065838,11801.700453237027,8
ICE,6804.391625000001,0.4395359745559814,164928413.4872512,12842.445775133769,11643.694460381601,8
ICE-1,6583.4360000000015,0.42200893131426176,153181048.18314874,12376.633152160111,11204.051237555752,8
iChao,6695.910875000001,0.42435630718204587,161937508.9660732,12725.46694491299,11568.542889855842,8
Chao_Bunge,6220.768750000001,0.4009058609424665,133084712.40116252,11536.234758410672,10386.075764362093,8
Jackknife,6671.849999999999,0.36844710128326025,166361018.46132857,12898.101351025605,11922.891513609442,7
PCG,7629.621666666667,0.3249665197496458,212745493.75215006,14585.797672810015,13617.681167174414,6
Pnpmle,6359.164285714286,0.3795778811631648,127240657.96418573,11280.10008662094,10063.231860427772,7
Unpmle,7841.223333333334,0.3951458171157142,215224768.13180006,14670.540826152253,13582.635301085968,6
Zelterman,8372.040910315229,0.5018742494137493,201346908.9452939,14189.67613954927,12550.17959750228,6
