estimator,mae,mape,mse,rsme,std,nValid
Bootstrap,3136.267768668016,0.25990128159326253,13840495.370020881,3720.2816250951864,2237.2750873649356,5
ICE_k0,2576.470291324043,0.06364309490923203,24618768.45059944,4961.730388745386,4896.334586677949,4
Chao,3182.1654000000003,0.15002301840130372,25395912.277866203,5039.435710262232,4368.88653504944,5
ICE,3811.9565000000002,0.1666788668516787,30805144.777735505,5550.238263150106,4658.2017159476545,4
ICE-1,3325.80225,0.12335242152833079,29046349.943285756,5389.466573167121,4896.990822560414,4
iChao,3585.768,0.14330755141429166,30420241.0653835,5515.454746925542,4839.078275258557,4
Chao_Bunge,3035.8825000000006,0.09763523081893921,28720437.783225015,5359.145247446183,5099.523537144591,4
Jackknife,2777.3825000000006,0.07864909516681752,26227188.993225012,5121.248772831194,4968.344518639149,4
PCG,4648.8600000000015,0.10134418727297181,42912524.16720002,6550.765158910829,6526.963285878052,2
Pnpmle,,,,,,0
Unpmle,3526.5466666666675,0.11281483121550412,29071993.15360002,5391.845060236804,4995.317071231149,3
Zelterman,2659.6640607633262,0.09426523718369766,23767802.317255683,4875.22330947575,4568.094433286655,5
