estimator,mae,mape,mse,rsme,std,nValid
Bootstrap,2363.1327724745593,0.19921186932821985,11919802.439358247,3452.506689256119,2669.7062912222796,9
ICE_k0,1884.530774475896,0.058528618909329796,11403920.34288507,3376.969106000982,3235.7305415085375,4
Chao,2518.1096250000005,0.18318580994500036,17717203.72456238,4209.180885227241,3605.761681538469,8
ICE,2606.580875,0.19352401395223806,18029371.54937863,4246.100746494203,3583.3117469678177,8
ICE-1,2284.741875,0.15282334693653138,16417458.254021628,4051.846277195327,3577.295517748906,8
iChao,2710.504285714286,0.1873029623940699,19504247.76044286,4416.361371133805,3766.1186904418246,7
Chao_Bunge,2181.1550000000007,0.09883412385372348,19822486.515483346,4452.245109546794,4251.830106877509,6
Jackknife,2601.5100000000007,0.15156202903141566,19356925.739533342,4399.6506383499745,3886.7577428134123,6
PCG,2147.671666666667,0.09232933258374511,18545915.79715001,4306.496928728733,4089.0227012351834,6
Pnpmle,2964.0280000000007,0.1746871667862393,22979977.32616001,4793.743560742482,4212.261171475483,5
Unpmle,2552.7550000000006,0.13392337124925544,19478095.462150007,4413.3995357490585,3943.836310820976,6
Zelterman,2495.3607265602645,0.13603857910244474,20370100.74480203,4513.324799391467,4119.700317616706,6
