estimator,mae,mape,mse,rsme,std,stdp,nValid
Bootstrap,2150.1520053945865,0.3386867551067827,6933090.696383405,2633.0762800160965,1612.0419291510914,0.22234194437881794,9
ICE_k0,760.9028174202867,0.16533619283113443,878296.7751130174,937.1748903555928,670.0638151193741,0.14414290625346785,3
Chao,1176.167285714285,0.16703696275403193,2059292.403560713,1435.023485369042,888.0184342149499,0.09913263271268707,7
ICE,1119.2158,0.19163513437578736,1677357.6020454003,1295.128411411548,728.6233552698543,0.11816108459544965,5
ICE-1,530.2779999999996,0.06633299436024852,413136.7482359992,642.757145612555,444.87412425089366,0.006971457179485747,3
iChao,1107.337,0.15720625797581594,1797913.1233805988,1340.8628279509426,845.3681829620151,0.05550006169438861,5
Chao_Bunge,602.3999999999996,0.056451001424519864,712639.7199999992,844.1799097348853,836.3659007874479,0.054983373763229815,2
Jackknife,506.2525000000003,0.07276657382593192,420739.09462500026,648.6440430814117,468.2556294286985,0.06212507572755306,4
PCG,105.8100000000004,0.0157763776507825,13558.688200000053,116.44178030243292,68.74492126695569,0.01585150839516792,2
Pnpmle,82.42000000000007,0.014402997333296065,6793.056400000012,82.42000000000007,,,1
Unpmle,850.8466666666669,0.09060014863844952,1944038.1676,1394.2876918340778,1352.8293226173555,0.14081460058594797,3
Zelterman,928.8571393207302,0.10801795457719142,1789936.0468683895,1337.8849154050545,1040.0419247326117,0.09726960089881702,7
