estimator,mae,mape,mse,rsme,std,nValid
Bootstrap,2376.249259446197,0.3667204822609217,8332939.679561034,2886.6831623094754,1727.6763896254913,10
ICE_k0,742.5569817042092,0.19546249915125039,1060182.0715322318,1029.6514320546696,1008.7528938789385,2
Chao,2488.442888888889,0.39559789308095344,8789249.673502667,2964.666873951046,1709.2438006384905,9
ICE,2371.1711111111113,0.3792711455557048,8105803.335607333,2847.069253742756,1671.457375950509,9
ICE-1,2355.2493750000003,0.3825970325854243,7474743.360876625,2733.9976885280325,1484.219368629751,8
iChao,2355.762111111111,0.3756648310421859,7897388.500218557,2810.2292611490893,1625.190772826643,9
Chao_Bunge,1874.4537500000001,0.3107587763590633,5320886.8943625,2306.704769657899,1437.1837673424022,8
Jackknife,2099.70375,0.34402268827741034,6041314.4693625,2457.908555939887,1365.9360502070942,8
PCG,2224.2033333333334,0.3530255261443252,7305368.917211112,2702.8445973106022,1628.82611268054,9
Pnpmle,2189.8700000000003,0.35586910070426203,6776487.621655556,2603.168765496305,1492.841796825772,9
Unpmle,2442.07875,0.4004618696605218,7675243.239362501,2770.4229351062086,1398.5685000480978,8
Zelterman,2331.6657533118005,0.36446241487913184,7337558.424799228,2708.792798425016,1473.923137996838,8
