subject;testsuite;catch_type;total_mutants;killed_mutants_Sn;estimator;estimate_S;CILower;CIUpper
commons-collections;dynamosa;assertions;4561;3579;bootstrap;4417.30899252327;4365.21592727258;4469.40205777396
commons-collections;dynamosa;classes;4561;3579;bootstrap;4983.27160940075;4718.202578966;5248.3406398355
commons-collections;dynamosa;methods;4561;3579;bootstrap;4415.79340392665;4363.66454692905;4467.92226092424
commons-collections;dynamosa;assertions;4561;3579;chao2;4355.95557170818;4241.84461479725;4489.71111831093
commons-collections;dynamosa;classes;4561;3579;chao2;7045.19716646989;6663.32215385587;7474.35275419397
commons-collections;dynamosa;methods;4561;3579;chao2;4355.86339473803;4241.76475988766;4489.60474335749
commons-collections;dynamosa;assertions;4561;3579;chao2_corrected;4354.08627092589;4174.81228591449;4587.30201320156
commons-collections;dynamosa;classes;4561;3579;chao2_corrected;7038.62650641865;6452.29302000188;7744.60910446464
commons-collections;dynamosa;methods;4561;3579;chao2_corrected;4353.99431572708;4174.74094549597;4587.18349645123
commons-collections;dynamosa;assertions;4561;3579;chao_lower;4356.00072254335;3687.74376153788;9130.85984276085
commons-collections;dynamosa;classes;4561;3579;chao_lower;7058.37662337662;4067.39799947025;28366.2876228625
commons-collections;dynamosa;methods;4561;3579;chao_lower;4356.00072254335;3687.74376153788;9130.85984276085
commons-collections;dynamosa;assertions;4561;3579;chao_upperbound;0.0;4123.28115997024;4539.47163119591
commons-collections;dynamosa;classes;4561;3579;chao_upperbound;0.0;4492.88853738182;4560.50239153911
commons-collections;dynamosa;methods;4561;3579;chao_upperbound;0.0;4123.28115997024;4539.47163119591
commons-collections;dynamosa;assertions;4561;3579;ice;17702.1517211672;<NA>;<NA>
commons-collections;dynamosa;classes;4561;3579;ice;14308.8483282658;11568.3295791494;17049.3670773823
commons-collections;dynamosa;methods;4561;3579;ice;17703.9406286474;<NA>;<NA>
commons-collections;dynamosa;assertions;4561;3579;jack_our;4960.93985471475;4806.34845907155;5115.53125035795
commons-collections;dynamosa;classes;4561;3579;jack_our;9563.40909991261;8795.21776125845;10331.6004385668
commons-collections;dynamosa;methods;4561;3579;jack_our;4960.81705155067;4806.25164058029;5115.38246252105
commons-collections;dynamosa;assertions;4561;3579;species_chaobunge;5092.0;4845.0;5371.0
commons-collections;dynamosa;classes;4561;3579;species_chaobunge;-25020.0;-10219.0;-55817.0
commons-collections;dynamosa;methods;4561;3579;species_chaobunge;5092.0;4845.0;5371.0
commons-collections;dynamosa;assertions;4561;3579;species_jackknife;4961.0;4806.0;5116.0
commons-collections;dynamosa;classes;4561;3579;species_jackknife;9591.0;8807.0;10375.0
commons-collections;dynamosa;methods;4561;3579;species_jackknife;4961.0;4806.0;5116.0
commons-collections;dynamosa;assertions;4561;3579;species_pcg;4567;4397;5300
commons-collections;dynamosa;classes;4561;3579;species_pcg;12491;7926;15071
commons-collections;dynamosa;methods;4561;3579;species_pcg;1700805;1700930;1701620
commons-collections;dynamosa;assertions;4561;3579;species_pnpmle;4467;4351;5006
commons-collections;dynamosa;classes;4561;3579;species_pnpmle;11830;10468;14305
commons-collections;dynamosa;methods;4561;3579;species_pnpmle;4467;4319;4770
commons-collections;dynamosa;assertions;4561;3579;species_unpmle;4464;4395;5353
commons-collections;dynamosa;classes;4561;3579;species_unpmle;8507;7498;11556889
commons-collections;dynamosa;methods;4561;3579;species_unpmle;4464;4173;4750
commons-collections;dynamosa;assertions;4561;3579;zelterman;4857.87711902556;4620.50298535861;5095.25125269251
commons-collections;dynamosa;classes;4561;3579;zelterman;7647.12512064764;7144.24995129881;8150.00028999648
commons-collections;dynamosa;methods;4561;3579;zelterman;4857.87711902556;4620.50298535861;5095.25125269251
commons-collections;evosuite;assertions;4365;3566;bootstrap;3982.25459117101;3951.49477770896;4013.01440463305
commons-collections;evosuite;classes;4365;3566;bootstrap;4877.59263606439;4654.94853979515;5100.23673233362
commons-collections;evosuite;methods;4365;3566;bootstrap;3981.83391996899;3945.12894130027;4018.5388986377
commons-collections;evosuite;assertions;4365;3566;chao2;3829.76165277323;3772.51228215179;3902.88170383266
commons-collections;evosuite;classes;4365;3566;chao2;6189.84047784277;5896.48365215544;6520.12449977872
commons-collections;evosuite;methods;4365;3566;chao2;3829.72248633504;3772.48071823699;3902.83314545095
commons-collections;evosuite;assertions;4365;3566;chao2_corrected;3828.43312581087;3741.32936983571;3958.81008987485
commons-collections;evosuite;classes;4365;3566;chao2_corrected;6185.13620162177;5727.94928665985;6739.0043276103
commons-collections;evosuite;methods;4365;3566;chao2_corrected;3828.39415664802;3741.30288200119;3958.75277540823
commons-collections;evosuite;assertions;4365;3566;chao_lower;3829.76933701657;3602.58879952718;5467.51806151742
commons-collections;evosuite;classes;4365;3566;chao_lower;6199.89350649351;3935.67733576724;22332.0814779209
commons-collections;evosuite;methods;4365;3566;chao_lower;3829.76933701657;3602.58879952718;5467.51806151742
commons-collections;evosuite;assertions;4365;3566;chao_upperbound;0.0;3725.25630969789;4002.85369000028
commons-collections;evosuite;classes;4365;3566;chao_upperbound;0.0;4310.2666763851;4364.59982594406
commons-collections;evosuite;methods;4365;3566;chao_upperbound;0.0;3725.25630969789;4002.85369000028
commons-collections;evosuite;assertions;4365;3566;ice;6365.38482878752;<NA>;<NA>
