model,kind,testsuite,program,total_mutants,Sn,C,estimator,estimate,CILower,CIUpper
abundance,method,organic,commons-csv,635,496,0.995,Chao1,527.006,512.263,555.115
abundance,method,organic,commons-csv,635,496,0.995,Chao1-bc,525.998,511.666,553.442
abundance,method,organic,commons-csv,635,496,0.995,iChao1,534.233,524.687,546.956
abundance,method,organic,commons-csv,635,496,0.995,ACE,527.825,514.914,549.552
abundance,method,organic,commons-csv,635,496,0.995,ACE-1,531.373,516.64,556.624
abundance,method,organic,commons-csv,635,496,0.995,Jack1,556.995,538.895,582.733
abundance,method,organic,commons-csv,635,496,0.995,Jack2,558,530.333,607.961
abundance,method,organic,commons-collections,8306,3462,0.992,Chao1,4866.985,4666.114,5101.366
abundance,method,organic,commons-collections,8306,3462,0.992,Chao1-bc,4862.879,4662.647,5096.504
abundance,method,organic,commons-collections,8306,3462,0.992,iChao1,5152.86,5004.546,5315.433
abundance,method,organic,commons-collections,8306,3462,0.992,ACE,4796.978,4643.602,4970.263
abundance,method,organic,commons-collections,8306,3462,0.992,ACE-1,5394.812,5140.206,5688.046
abundance,method,organic,commons-collections,8306,3462,0.992,Jack1,4626.992,4536.162,4725.503
abundance,method,organic,commons-collections,8306,3462,0.992,Jack2,5308.986,5152.258,5480.247
abundance,method,organic,commons-compress,9520,6515,0.993,Chao1,7314.065,7194.889,7454.13
abundance,method,organic,commons-compress,9520,6515,0.993,Chao1-bc,7312.008,7193.122,7451.738
abundance,method,organic,commons-compress,9520,6515,0.993,iChao1,7508.252,7425.873,7598.081
abundance,method,organic,commons-compress,9520,6515,0.993,ACE,7276.436,7185.789,7379.334
abundance,method,organic,commons-compress,9520,6515,0.993,ACE-1,7468.096,7346.035,7608.085
abundance,method,organic,commons-compress,9520,6515,0.993,Jack1,7519.993,7435.894,7611.772
abundance,method,organic,commons-compress,9520,6515,0.993,Jack2,7892.992,7749.008,8053.776
abundance,method,organic,commons-configuration,6163,4847,0.998,Chao1,5628.937,5493.284,5793.064
abundance,method,organic,commons-configuration,6163,4847,0.998,Chao1-bc,5625.679,5490.612,5789.09
abundance,method,organic,commons-configuration,6163,4847,0.998,iChao1,5790.712,5685.315,5909.36
abundance,method,organic,commons-configuration,6163,4847,0.998,ACE,5384.096,5308.923,5471.503
abundance,method,organic,commons-configuration,6163,4847,0.998,ACE-1,5520.911,5419.505,5640.279
abundance,method,organic,commons-configuration,6163,4847,0.998,Jack1,5589.998,5518.205,5669.471
abundance,method,organic,commons-configuration,6163,4847,0.998,Jack2,5979.997,5856.51,6118.59
abundance,method,organic,commons-dbcp,4184,1829,0.987,Chao1,2972.974,2730.644,3280.433
abundance,method,organic,commons-dbcp,4184,1829,0.987,Chao1-bc,2963.044,2723.365,3266.954
abundance,method,organic,commons-dbcp,4184,1829,0.987,iChao1,3209.695,3008.048,3445.829
abundance,method,organic,commons-dbcp,4184,1829,0.987,ACE,2601.832,2474.438,2754.37
