model,kind,testsuite,program,total_mutants,Sn,C,estimator,estimate,CILower,CIUpper
incidence,method,organic,commons-csv,635,496,0.995,Chao2,527.006,512.263,555.115
incidence,method,organic,commons-csv,635,496,0.995,Chao2-bc,525.998,511.666,553.442
incidence,method,organic,commons-csv,635,496,0.995,iChao2,534.233,524.687,546.956
incidence,method,organic,commons-csv,635,496,0.995,ICE,527.825,514.914,549.552
incidence,method,organic,commons-csv,635,496,0.995,ICE-1,531.373,516.64,556.624
incidence,method,organic,commons-csv,635,496,0.995,Jack1,556.995,538.895,582.733
incidence,method,organic,commons-csv,635,496,0.995,Jack2,558,530.333,607.961
incidence,method,organic,commons-csv,635,496,0.995,Manual,624.215517241379,614.679795612353,629.671397033167
incidence,method,organic,commons-collections,8306,3462,0.992,Chao2,4866.985,4666.114,5101.366
incidence,method,organic,commons-collections,8306,3462,0.992,Chao2-bc,4862.879,4662.647,5096.504
incidence,method,organic,commons-collections,8306,3462,0.992,iChao2,5152.86,5004.546,5315.433
incidence,method,organic,commons-collections,8306,3462,0.992,ICE,4796.978,4643.602,4970.263
incidence,method,organic,commons-collections,8306,3462,0.992,ICE-1,5394.812,5140.206,5688.046
incidence,method,organic,commons-collections,8306,3462,0.992,Jack1,4626.992,4536.162,4725.503
incidence,method,organic,commons-collections,8306,3462,0.992,Jack2,5308.986,5152.258,5480.247
incidence,method,organic,commons-collections,8306,3462,0.992,Manual,8257.56,8003.6763659465,8303.47035366394
incidence,method,organic,commons-compress,9520,6515,0.993,Chao2,7314.065,7194.889,7454.13
incidence,method,organic,commons-compress,9520,6515,0.993,Chao2-bc,7312.008,7193.122,7451.738
incidence,method,organic,commons-compress,9520,6515,0.993,iChao2,7508.252,7425.873,7598.081
incidence,method,organic,commons-compress,9520,6515,0.993,ICE,7276.436,7185.789,7379.334
incidence,method,organic,commons-compress,9520,6515,0.993,ICE-1,7468.096,7346.035,7608.085
incidence,method,organic,commons-compress,9520,6515,0.993,Jack1,7519.993,7435.894,7611.772
incidence,method,organic,commons-compress,9520,6515,0.993,Jack2,7892.992,7749.008,8053.776
incidence,method,organic,commons-compress,9520,6515,0.993,Manual,9460.49504950495,9289.72921796417,9509.67101835095
incidence,method,organic,commons-configuration,6163,4847,0.998,Chao2,5628.937,5493.284,5793.064
incidence,method,organic,commons-configuration,6163,4847,0.998,Chao2-bc,5625.679,5490.612,5789.09
incidence,method,organic,commons-configuration,6163,4847,0.998,iChao2,5790.712,5685.315,5909.36
incidence,method,organic,commons-configuration,6163,4847,0.998,ICE,5384.096,5308.923,5471.503
incidence,method,organic,commons-configuration,6163,4847,0.998,ICE-1,5520.911,5419.505,5640.279
incidence,method,organic,commons-configuration,6163,4847,0.998,Jack1,5589.998,5518.205,5669.471
incidence,method,organic,commons-configuration,6163,4847,0.998,Jack2,5979.997,5856.51,6118.59
incidence,method,organic,commons-configuration,6163,4847,0.998,Manual,6110.36,6024.67324014502,6146.03562003188
incidence,method,organic,commons-dbcp,4184,1829,0.987,Chao2,2972.974,2730.644,3280.433
incidence,method,organic,commons-dbcp,4184,1829,0.987,Chao2-bc,2963.044,2723.365,3266.954
incidence,method,organic,commons-dbcp,4184,1829,0.987,iChao2,3209.695,3008.048,3445.829
incidence,method,organic,commons-dbcp,4184,1829,0.987,ICE,2601.832,2474.438,2754.37
incidence,method,organic,commons-dbcp,4184,1829,0.987,ICE-1,3044.274,2809.848,3334.727
incidence,method,organic,commons-dbcp,4184,1829,0.987,Jack1,2400.987,2338.445,2471.207
incidence,method,organic,commons-dbcp,4184,1829,0.987,Jack2,2829.971,2721.581,2951.523
incidence,method,organic,commons-dbcp,4184,1829,0.987,Manual,4160.45,4037.01978567383,4182.77016574702
