estimator;estimate_S;CILower;CIUpper;total_mutants;killed_mutants_Sn;f1;f2;n_samples
bootstrap;4417.30899252327;4365.21592727258;4469.40205777396;4561;3579;1037;692;17209
chao2;4355.95557170818;4241.84461479725;4489.71111831093;4561;3579;1037;692;17209
chao2_corrected;4354.08627092589;4174.81228591449;4587.30201320156;4561;3579;1037;692;17209
chao_lower;4356.00072254335;3687.74376153788;9130.85984276085;4561;3579;1037;692;17209
chao_upperbound;0.0;4123.28115997024;4539.47163119591;4561;3579;1037;692;17209
ice;17702.1517211672;;;4561;3579;1037;692;17209
jack_our;4960.93985471475;4806.34845907155;5115.53125035795;4561;3579;1037;692;17209
species_chaobunge;5092.0;4845.0;5371.0;4561;3579;1037;692;17209
species_jackknife;4961.0;4806.0;5116.0;4561;3579;1037;692;17209
species_pcg;4567.0;4397.0;5300.0;4561;3579;1037;692;17209
species_pnpmle;4467.0;4351.0;5006.0;4561;3579;1037;692;17209
species_unpmle;4464.0;4395.0;5353.0;4561;3579;1037;692;17209
zelterman;4857.87711902556;4620.50298535861;5095.25125269251;4561;3579;1037;692;17209
