estimator;estimate_S;CILower;CIUpper;total_mutants;killed_mutants_Sn;f1;f2;n_samples
bootstrap;424.770354620324;412.141657954989;437.399051285658;468;362;80;48;4193
chao2;428.650767151602;399.97803240798;478.9709034469;468;362;80;48;4193
chao2_corrected;426.474415571141;388.064255487596;521.488548031558;468;362;80;48;4193
chao_lower;428.666666666667;370.647929005837;875.931652473626;468;362;80;48;4193
chao_upperbound;0.0;381.080240856479;463.980517313259;468;362;80;48;4193
ice;950.07824432302;761.099477811101;1139.05701083494;468;362;80;48;4193
jack_our;473.977101967474;431.049990511888;516.90421342306;468;362;80;48;4193
species_chaobunge;460.0;408.0;529.0;468;362;80;48;4193
species_jackknife;474.0;431.0;517.0;468;362;80;48;4193
species_pcg;145303.0;145307.0;145403.0;468;362;80;48;4193
species_pnpmle;653.0;601.0;841.0;468;362;80;48;4193
species_unpmle;443.0;408.0;566.0;468;362;80;48;4193
zelterman;518.026619370987;417.775308728925;618.277930013049;468;362;80;48;4193
