estimator;estimate_S;CILower;CIUpper;total_mutants;killed_mutants_Sn;f1;f2;n_samples
bootstrap;5977.62675167673;4866.25516092933;7088.99834242413;5237;5232;606;827;18879
chao2;5454.01725992163;5410.73817733744;5507.77579920182;5237;5232;606;827;18879
chao2_corrected;5453.38320048885;5388.19897494886;5545.76980210486;5237;5232;606;827;18879
chao_lower;5454.02902055623;5262.90065954906;6827.33442614337;5237;5232;606;827;18879
chao_upperbound;0.0;5236.79679605847;5236.99856874102;5237;5232;606;827;18879
ice;9649.87258863164;;;5237;5232;606;827;18879
jack_our;5837.96790084221;5769.73558247211;5906.2002192123;5237;5232;606;827;18879
species_chaobunge;5474.0;5433.0;5518.0;5237;5232;606;827;18879
species_jackknife;5838.0;5770.0;5906.0;5237;5232;606;827;18879
species_pcg;5887.0;5880.0;6035.0;5237;5232;606;827;18879
species_pnpmle;9464.0;9372.0;10503.0;5237;5232;606;827;18879
species_unpmle;5524.0;5434.0;6041.0;5237;5232;606;827;18879
zelterman;5597.27957966081;5478.96917786067;5715.58998146095;5237;5232;606;827;18879
