estimator;estimate_S;CILower;CIUpper;total_mutants;killed_mutants_Sn;f1;f2;n_samples
bootstrap;3598.0981876176;3568.22925985888;3627.96711537632;4161;3212;374;357;25532
chao2;3407.89708899383;3362.13042690503;3467.61553555385;4161;3212;374;357;25532
chao2_corrected;3406.82756451101;3337.93384958453;3513.41046286218;4161;3212;374;357;25532
chao_lower;3407.90476190476;3239.09864722463;4628.25799320649;4161;3212;374;357;25532
chao_upperbound;0.0;3327.28409121128;3544.90521569619;4161;3212;374;357;25532
ice;4777.74191533765;;;4161;3212;374;357;25532
jack_our;3585.98535171549;3532.38173258717;3639.58897084382;4161;3212;374;357;25532
species_chaobunge;3399.0;3358.0;3441.0;4161;3212;374;357;25532
species_jackknife;3586.0;3532.0;3640.0;4161;3212;374;357;25532
species_pcg;1494407.0;1494489.0;1495065.0;4161;3212;374;357;25532
species_pnpmle;3458.0;3397.0;3772.0;4161;3212;374;357;25532
species_unpmle;3455.0;3420.0;3734.0;4161;3212;374;357;25532
zelterman;3770.90492336973;3582.42651829447;3959.38332844498;4161;3212;374;357;25532
