estimator;estimate_S;CILower;CIUpper;total_mutants;killed_mutants_Sn;f1;f2;n_samples
bootstrap;15023.2963759411;14931.4820796611;15115.1106722212;18333;13509;1588;1301;134182
chao2;14478.1488111224;14361.1325395827;14611.2339536052;18333;13509;1588;1301;134182
chao2_corrected;14476.7946307124;14291.1102301845;14706.5632220215;18333;13509;1588;1301;134182
chao_lower;14478.1560338201;13644.937771153;20418.5102113533;18333;13509;1588;1301;134182
chao_upperbound;0.0;14249.9427235852;14776.6599526413;18333;13509;1588;1301;134182
ice;-1.0;-1.0;-1.0;18333;13509;1588;1301;134182
jack_our;15383.9935832698;15192.6771670827;15575.3099994569;18333;13509;1588;1301;134182
species_chaobunge;14417.0;14319.0;14517.0;18333;13509;1588;1301;134182
species_jackknife;15384.0;15193.0;15575.0;18333;13509;1588;1301;134182
species_pcg;14883.0;14727.0;15240.0;18333;13509;1588;1301;134182
species_pnpmle;15609.0;14697.0;15524.0;18333;13509;1588;1301;134182
zelterman;16766.0301436897;16264.833309976;17267.2269774033;18333;13509;1588;1301;134182
