estimator;estimate_S;CILower;CIUpper;total_mutants;killed_mutants_Sn;f1;f2;n_samples
bootstrap;249.684708431632;241.024402472433;258.34501439083;257;218;28;41;1283
chao2;227.553523563295;221.653384567125;242.982262556129;257;218;28;41;1283
chao2_corrected;226.992985190959;220.111667638528;256.298537690887;257;218;28;41;1283
chao_lower;227.560975609756;219.04841879801;305.190590996499;257;218;28;41;1283
chao_upperbound;0.0;219.896200727938;250.61725633962;257;218;28;41;1283
ice;290.206112165699;252.633874090733;327.778350240664;257;218;28;41;1283
jack_our;245.978176149649;231.31945349605;260.636898803249;257;218;28;41;1283
species_chaobunge;230.0;221.0;242.0;257;218;28;41;1283
species_jackknife;246.0;231.0;261.0;257;218;28;41;1283
species_pcg;92700.0;92704.0;92746.0;257;218;28;41;1283
species_pnpmle;379.0;358.0;394.0;257;218;28;41;1283
species_unpmle;221.0;220.0;225.0;257;218;28;41;1283
zelterman;230.315760850527;210.687979898583;249.943541802471;257;218;28;41;1283
