estimator;estimate_S;CILower;CIUpper;total_mutants;killed_mutants_Sn;f1;f2;n_samples
bootstrap;5325.31786186103;5319.67272870517;5330.9629950169;5325;5322;2;4;13142
chao2;5322.49996195404;5322.04006786835;5328.23846403081;5325;5322;2;4;13142
chao2_corrected;5322.19998478162;5322.00605249675;5328.60783715664;5325;5322;2;4;13142
chao_lower;5322.5;5322.00560513935;5366.6019241511;5325;5322;2;4;13142
chao_upperbound;0.0;5322.01791899653;5324.57437490136;5325;5322;2;4;13142
ice;5332.55416990701;5317.69231555637;5347.41602425766;5325;5322;2;4;13142
jack_our;5323.99984781616;5320.08007152711;5327.91962410521;5325;5322;2;4;13142
species_chaobunge;5323.0;5321.0;5324.0;5325;5322;2;4;13142
species_jackknife;5324.0;5320.0;5328.0;5325;5322;2;4;13142
species_pcg;5322.0;;;5325;5322;2;4;13142
zelterman;5421.29447185601;4734.25969296468;6108.32925074734;5325;5322;2;4;13142
