estimator;estimate_S;CILower;CIUpper;total_mutants;killed_mutants_Sn;f1;f2;n_samples
bootstrap;5524.19510664408;4191.09055880513;6857.29965448303;4561;4558;1050;1208;17243
chao2;5014.30631664332;4946.18095290115;5094.3876126648;4561;4558;1050;1208;17243
chao2_corrected;5013.49467407136;4907.89170623334;5150.97032313481;4561;4558;1050;1208;17243
chao_lower;5014.33278145695;4621.8503181949;7819.37149068841;4561;4558;1050;1208;17243
chao_upperbound;0.0;4560.94453282481;4560.99961506751;4561;4558;1050;1208;17243
ice;14046.6838769496;;;4561;4558;1050;1208;17243
jack_our;5607.93910572406;5518.12452884917;5697.75368259895;4561;4558;1050;1208;17243
species_chaobunge;5489.0;5364.0;5625.0;4561;4558;1050;1208;17243
species_jackknife;5608.0;5518.0;5698.0;4561;4558;1050;1208;17243
species_pcg;5171.0;5141.0;5332.0;4561;4558;1050;1208;17243
species_pnpmle;8763.0;8662.0;9519.0;4561;4558;1050;1208;17243
species_unpmle;5175.0;5126.0;5432.0;4561;4558;1050;1208;17243
zelterman;5065.36411512842;4948.41585177225;5182.3123784846;4561;4558;1050;1208;17243
