estimator;estimate_S;CILower;CIUpper;total_mutants;killed_mutants_Sn;f1;f2;n_samples
bootstrap;330.111275740513;317.725785231424;342.496766249602;422;279;63;43;6229
chao2;325.143753710141;303.60440549292;365.539217827264;422;279;63;43;6229
chao2_corrected;323.379237875626;295.194729985187;400.614670712194;422;279;63;43;6229
chao_lower;325.151162790698;284.861515140045;642.375300761792;422;279;63;43;6229
chao_upperbound;0.0;291.807039225365;402.459295612864;422;279;63;43;6229
ice;549.741075191362;449.226550577612;650.255599805113;422;279;63;43;6229
jack_our;341.989886017017;319.991589614648;363.988182419387;422;279;63;43;6229
species_chaobunge;364.0;313.0;433.0;422;279;63;43;6229
species_jackknife;342.0;320.0;364.0;422;279;63;43;6229
species_pcg;111758.0;111763.0;111813.0;422;279;63;43;6229
species_pnpmle;501.0;471.0;620.0;422;279;63;43;6229
species_unpmle;337.0;318.0;546.0;422;279;63;43;6229
zelterman;374.677902140906;303.137649766598;446.218154515213;422;279;63;43;6229
