estimator;estimate_S;CILower;CIUpper;total_mutants;killed_mutants_Sn;f1;f2;n_samples
bootstrap;5774.98071296998;4260.69369267437;7289.26773326558;4691;4688;1056;1163;16216
chao2;5167.39261924467;5096.28025985994;5250.89099910219;4691;4688;1056;1163;16216
chao2_corrected;5166.52718964088;5056.00741580874;5310.2381978971;4691;4688;1056;1163;16216
chao_lower;5167.42218400688;4755.08723382079;8114.07106341469;4691;4688;1056;1163;16216
chao_upperbound;0.0;4690.94492187528;4690.99961780418;4691;4688;1056;1163;16216
ice;11206.4702847843;;;4691;4688;1056;1163;16216
jack_our;5743.93487913172;5653.86430285709;5834.00545540636;4691;4688;1056;1163;16216
species_chaobunge;5494.0;5387.0;5610.0;4691;4688;1056;1163;16216
species_jackknife;5744.0;5654.0;5834.0;4691;4688;1056;1163;16216
species_pcg;4904.0;2265810.0;2265821.0;4691;4688;1056;1163;16216
species_pnpmle;9079.0;9047.0;10040.0;4691;4688;1056;1163;16216
species_unpmle;5224.0;5190.0;5425.0;4691;4688;1056;1163;16216
zelterman;5270.4343939478;5140.22611980432;5400.64266809127;4691;4688;1056;1163;16216
