estimator;estimate_S;CILower;CIUpper;total_mutants;killed_mutants_Sn;f1;f2;n_samples
bootstrap;15011.7906602288;11350.9625309409;18672.6187895168;13643;13417;75;3510;54397
chao2;13417.801267321;13417.1338416363;13421.7969326842;13643;13417;75;3510;54397
chao2_corrected;13417.7903585834;13417.1219762995;13422.1212136521;13643;13417;75;3510;54397
chao_lower;13417.8012820513;13417.040963455;13432.6737981616;13643;13417;75;3510;54397
chao_upperbound;0.0;13417.0577780192;13428.1090837477;13643;13417;75;3510;54397
jack_our;13491.9986212475;13467.993952738;13516.003289757;13643;13417;75;3510;54397
species_chaobunge;13439.0;13428.0;13449.0;13643;13417;75;3510;54397
species_jackknife;13492.0;13468.0;13516.0;13643;13417;75;3510;54397
species_pcg;13771.0;13759.0;13865.0;13643;13417;75;3510;54397
species_pnpmle;23298.0;23275.0;23634.0;13643;13417;75;3510;54397
species_unpmle;13778.0;13778.0;13901.0;13643;13417;75;3510;54397
zelterman;13417.0;13417.0;13417.0;13643;13417;75;3510;54397
