estimator;estimate_S;CILower;CIUpper;total_mutants;killed_mutants_Sn;f1;f2;n_samples
bootstrap;499.266684838458;417.090371923295;581.442997753621;468;362;214;79;10
chao2;622.863291139241;543.186869339811;737.577197795558;468;362;214;79;10
chao2_corrected;618.39875;505.624551873104;819.72340553338;468;362;214;79;10
chao_lower;651.848101265823;401.470152189291;2490.49247209632;468;362;214;79;10
chao_upperbound;0.0;423.224985151628;467.516900495536;468;362;214;79;10
ice;674.828422235442;587.491998117215;762.164846353669;468;362;214;79;10
jack_our;859.249206349206;716.871294490566;1001.62711820785;468;362;214;79;10
species_chaobunge;848.0;619.0;1280.0;468;362;214;79;10
species_jackknife;1035.0;769.0;1301.0;468;362;214;79;10
species_pcg;858.0;577.0;1054.0;468;362;214;79;10
species_pnpmle;798.0;578.0;1043.0;468;362;214;79;10
zelterman;693.376622819999;562.763475160134;823.989770479864;468;362;214;79;10
