estimator;estimate_S;CILower;CIUpper;total_mutants;killed_mutants_Sn;f1;f2;n_samples
bootstrap;6404.820493144;4588.16407461104;8221.47691167696;5237;5232;622;2276;120
chao2;5316.28382396016;5296.53178395746;5342.0816147595;5237;5232;622;2276;120
chao2_corrected;5316.11136363636;5289.57971592098;5354.8682944959;5237;5232;622;2276;120
chao_lower;5316.9920913884;5243.75618164293;5846.45593628748;5237;5232;622;2276;120
chao_upperbound;0.0;5236.63878212092;5236.99739408816;5237;5232;622;2276;120
ice;5489.46075949367;5472.49942453736;5506.42209444999;5237;5232;622;2276;120
jack_our;5848.81666666667;5780.11892685102;5917.51440648231;5237;5232;622;2276;120
species_chaobunge;5359.0;5335.0;5389.0;5237;5232;622;2276;120
species_jackknife;5854.0;5785.0;5923.0;5237;5232;622;2276;120
species_pcg;5838.0;5815.0;6017.0;5237;5232;622;2276;120
species_pnpmle;11024.0;10961.0;11737.0;5237;5232;622;2276;120
species_unpmle;5838.0;5810.0;6128.0;5237;5232;622;2276;120
zelterman;5235.47253338326;5231.17898920982;5239.76607755671;5237;5232;622;2276;120
