estimator;estimate_S;CILower;CIUpper;total_mutants;killed_mutants_Sn;f1;f2;n_samples
bootstrap;16335.7829107405;11408.9994827826;21262.5663386985;12429;12246;3480;5177;674
chao2;13413.8995603127;13311.3993940735;13526.2610838396;12429;12246;3480;5177;674
chao2_corrected;13413.3384714834;13253.6527415891;13598.3300744027;12429;12246;3480;5177;674
chao_lower;13415.634923701;12410.3986919465;20567.5130153584;12429;12246;3480;5177;674
chao_upperbound;0.0;12426.2609952892;12428.9809842101;12429;12246;3480;5177;674
ice;56992.9204629486;;;12429;12246;3480;5177;674
jack_our;15720.8367952522;15557.5025963634;15884.1709941411;12429;12246;3480;5177;674
species_chaobunge;14910.0;14688.0;15149.0;12429;12246;3480;5177;674
species_jackknife;15726.0;15562.0;15890.0;12429;12246;3480;5177;674
species_pcg;14875.0;14782.0;15601.0;12429;12246;3480;5177;674
species_pnpmle;26257.0;26059.0;28773.0;12429;12246;3480;5177;674
species_unpmle;14853.0;14761.0;15896.0;12429;12246;3480;5177;674
zelterman;12904.5551607399;12801.9114882599;13007.1988332199;12429;12246;3480;5177;674
