estimator;estimate_S;CILower;CIUpper;total_mutants;killed_mutants_Sn;f1;f2;n_samples
bootstrap;4704.8544314395;4473.86008714616;4935.84877573283;4161;3212;2574;402;122
chao2;11385.0955468559;10415.0417140237;12485.7892504471;4161;3212;2574;402;122
chao2_corrected;11361.6475409836;9994.48302556452;13004.3953206993;4161;3212;2574;402;122
chao_lower;11452.6417910448;4368.04281863398;61953.9220410508;4161;3212;2574;402;122
chao_upperbound;0.0;4098.3509966952;4160.54841821851;4161;3212;2574;402;122
ice;16309.9963367243;11731.7194975821;20888.2731758666;4161;3212;2574;402;122
jack_our;12948.2023457655;12272.7037345303;13623.7009570007;4161;3212;2574;402;122
species_chaobunge;-4813.0;-3212.0;-6813.0;4161;3212;2574;402;122
species_jackknife;13145.0;12444.0;13846.0;4161;3212;2574;402;122
species_pcg;30637.0;13182.0;40959.0;4161;3212;2574;402;122
species_pnpmle;17284.0;14970.0;20913.0;4161;3212;2574;402;122
species_unpmle;14225.0;12441.0;139960.0;4161;3212;2574;402;122
zelterman;11972.6652305163;10843.5276693357;13101.8027916969;4161;3212;2574;402;122
