estimator;estimate_S;CILower;CIUpper;total_mutants;killed_mutants_Sn;f1;f2;n_samples
bootstrap;18075.0638777183;17646.9217441979;18503.2060112387;18333;13509;6863;2346;753
chao2;23534.1956901012;22900.9505544759;24210.1368982268;18333;13509;6863;2346;753
chao2_corrected;23528.4640588336;22532.5113829222;24634.3430916321;18333;13509;6863;2346;753
chao_lower;23547.5270673487;14921.4759580992;84853.2413685445;18333;13509;6863;2346;753
chao_upperbound;0.0;18154.8253583399;18331.7232336758;18333;13509;6863;2346;753
ice;51242.6581994162;;;18333;13509;6863;2346;753
jack_our;32594.236233438;31142.3537931243;34046.1186737517;18333;13509;6863;2346;753
species_chaobunge;428946.0;108169.0;1824443.0;18333;13509;6863;2346;753
species_jackknife;32632.0;31169.0;34095.0;18333;13509;6863;2346;753
species_pcg;29067.0;27139.0;61088.0;18333;13509;6863;2346;753
species_pnpmle;41279.0;37337.0;46218.0;18333;13509;6863;2346;753
species_unpmle;29813.0;27035.0;399429.0;18333;13509;6863;2346;753
zelterman;27277.8552248115;26328.8242697116;28226.8861799114;18333;13509;6863;2346;753
