estimator;estimate_S;CILower;CIUpper;total_mutants;killed_mutants_Sn;f1;f2;n_samples
bootstrap;5784.36357871143;5783.14362924142;5785.58352818144;5784;5784;0;0;55
chao2;5784.0;5784.0;5784.55590212279;5784;5784;0;0;55
chao2_corrected;5784.0;5784.0;5784.55590212279;5784;5784;0;0;55
chao_lower;;;;5784;5784;0;0;55
chao_upperbound;0.0;;;5784;5784;0;0;55
ice;5784.0;5784.0;5784.0;5784;5784;0;0;55
jack_our;5784.0;5784.0;5784.0;5784;5784;0;0;55
species_chaobunge;5784.0;5784.0;5784.0;5784;5784;0;0;55
species_jackknife;-1.0;-1.0;-1.0;5784;5784;0;0;55
species_pcg;5784.0;5784.0;2897111.0;5784;5784;0;0;55
zelterman;;;;5784;5784;0;0;55
