estimator;estimate_S;CILower;CIUpper;total_mutants;killed_mutants_Sn;f1;f2;n_samples
bootstrap;288.551964007479;229.686989955434;347.416938059523;257;218;111;36;13
chao2;375.961538461538;312.823963829174;481.138626835798;257;218;111;36;13
chao2_corrected;370.307692307692;286.851138061377;554.924469068547;257;218;111;36;13
chao_lower;389.125;240.539718830256;1517.20722816166;257;218;111;36;13
chao_upperbound;0.0;236.617421936494;256.763549773916;257;218;111;36;13
ice;352.027211148269;302.833036264768;401.221386031769;257;218;111;36;13
jack_our;547.688176638177;427.056978533694;668.319374742659;257;218;111;36;13
species_chaobunge;445.0;323.0;711.0;257;218;111;36;13
species_jackknife;660.0;461.0;859.0;257;218;111;36;13
species_pcg;557.0;377.0;916.0;257;218;111;36;13
species_pnpmle;531.0;343.0;662.0;257;218;111;36;13
species_unpmle;906.0;389.0;1523259.0;257;218;111;36;13
zelterman;456.785303480008;327.143029477897;586.42757748212;257;218;111;36;13
