estimator;estimate_S;CILower;CIUpper;total_mutants;killed_mutants_Sn;f1;f2;n_samples
bootstrap;5369.8029394845;5120.15646563435;5619.44941333465;5325;5322;3;6;151
chao2;5322.74503311258;5322.0766651901;5329.24023951583;5325;5322;3;6;151
chao2_corrected;5322.42573320719;5322.01957727554;5331.25811986942;5325;5322;3;6;151
chao_lower;5322.75;5322.0161611266;5356.80574182734;5325;5322;3;6;151
chao_upperbound;0.0;5322.03296642369;5324.67589159469;5325;5322;3;6;151
ice;5322.41051088885;5321.94635525355;5322.87466652414;5325;5322;3;6;151
jack_our;5324.98013245033;5320.20298519333;5329.75727970733;5325;5322;3;6;151
species_chaobunge;5322.0;5322.0;5322.0;5325;5322;3;6;151
species_jackknife;5325.0;5320.0;5330.0;5325;5322;3;6;151
species_pcg;5326.0;5326.0;5329.0;5325;5322;3;6;151
species_pnpmle;6500.0;6495.0;6533.0;5325;5322;3;6;151
species_unpmle;5326.0;5326.0;5326.0;5325;5322;3;6;151
zelterman;5421.29447185601;4860.21748922972;5982.37145448229;5325;5322;3;6;151
