estimator;estimate_S;CILower;CIUpper;total_mutants;killed_mutants_Sn;f1;f2;n_samples
bootstrap;6143.94208348348;4086.63719133949;8201.24697562746;4691;4688;1088;2636;125
chao2;4910.73786949924;4873.89755155372;4954.87903145794;4691;4688;1088;2636;125
chao2_corrected;4910.44875843762;4857.29949181978;4980.28351248162;4691;4688;1088;2636;125
chao_lower;4912.53414264036;4719.36542386678;6295.36170585101;4691;4688;1088;2636;125
chao_upperbound;0.0;4690.93136237272;4690.99952222083;4691;4688;1088;2636;125
ice;5267.80493350006;5242.55892424098;5293.05094275914;4691;4688;1088;2636;125
jack_our;5767.296;5676.41543420571;5858.1765657943;4691;4688;1088;2636;125
species_chaobunge;5040.0;4985.0;5104.0;4691;4688;1088;2636;125
species_jackknife;5776.0;5685.0;5867.0;4691;4688;1088;2636;125
species_pcg;5750.0;5696.0;5976.0;4691;4688;1088;2636;125
species_pnpmle;10407.0;10321.0;11677.0;4691;4688;1088;2636;125
species_unpmle;5751.0;5711.0;6201.0;4691;4688;1088;2636;125
zelterman;4725.15384120862;4707.60074723337;4742.70693518387;4691;4688;1088;2636;125
