estimator;estimate_S;CILower;CIUpper;total_mutants;killed_mutants_Sn;f1;f2;n_samples
bootstrap;14925.2961624863;11611.3750752863;18239.2172496862;13643;13417;101;3538;759
chao2;13418.4397343057;13417.3362046241;13423.1653966731;13643;13417;101;3538;759
chao2_corrected;13418.425076719;13417.3038759792;13423.6831332331;13643;13417;101;3538;759
chao_lower;13418.4416336914;13417.1091710016;13436.0371771778;13643;13417;101;3538;759
chao_upperbound;0.0;13417.1491228523;13430.9351426294;13643;13417;101;3538;759
ice;13931.9699554578;13658.8725932175;14205.0673176982;13643;13417;101;3538;759
jack_our;13517.8669301713;13490.0376242087;13545.6962361338;13643;13417;101;3538;759
species_chaobunge;13440.0;13430.0;13451.0;13643;13417;101;3538;759
species_jackknife;13518.0;13490.0;13546.0;13643;13417;101;3538;759
species_pcg;6678762.0;6679263.0;6679977.0;13643;13417;101;3538;759
species_pnpmle;25884.0;25841.0;26713.0;13643;13417;101;3538;759
zelterman;13417.0;13417.0;13417.0;13643;13417;101;3538;759
