estimator;estimate_S;CILower;CIUpper;total_mutants;killed_mutants_Sn;f1;f2;n_samples
bootstrap;6040.96391430121;4921.04054917001;7160.88727943241;5237;5232;606;827;9030
chao2;5454.00443262483;5410.72744351664;5507.76049394161;5237;5232;606;827;9030
chao2_corrected;5453.37040982554;5388.18973286731;5545.75211063303;5237;5232;606;827;9030
chao_lower;5454.02902055623;5262.90065954906;6827.33442614337;5237;5232;606;827;9030
chao_upperbound;0.0;5236.79679605847;5236.99856874102;5237;5232;606;827;9030
ice;9650.15884003129;;;5237;5232;606;827;9030
jack_our;5837.93289036545;5769.70352862555;5906.16225210535;5237;5232;606;827;9030
species_chaobunge;5474.0;5433.0;5518.0;5237;5232;606;827;9030
species_jackknife;5838.0;5770.0;5906.0;5237;5232;606;827;9030
species_pcg;2546296.0;2546482.0;2546517.0;5237;5232;606;827;9030
species_pnpmle;9464.0;9382.0;10400.0;5237;5232;606;827;9030
species_unpmle;5401.0;5394.0;5479.0;5237;5232;606;827;9030
zelterman;5597.27957966081;5478.96917786067;5715.58998146095;5237;5232;606;827;9030
