estimator;estimate_S;CILower;CIUpper;total_mutants;killed_mutants_Sn;f1;f2;n_samples
bootstrap;12936.9887615883;10989.1586484735;14884.8188747031;12429;12246;47;19;17445
chao2;12304.12824667;12273.6259661378;12368.308593447;12429;12246;47;19;17445
chao2_corrected;12300.046901691;12263.0541979983;12417.2814394845;12429;12246;47;19;17445
chao_lower;12304.1315789474;12253.0733437224;12723.7486579971;12429;12246;47;19;17445
chao_upperbound;0.0;12257.0489866837;12409.4888214547;12429;12246;47;19;17445
ice;14284.4430236167;;;12429;12246;47;19;17445
jack_our;37902.9702818586;36636.4780967638;39169.4624669533;12429;12246;47;19;17445
species_chaobunge;12254.0;12248.0;12260.0;12429;12246;47;19;17445
species_jackknife;37915.0;36648.0;39182.0;12429;12246;47;19;17445
species_pcg;12341.0;12338.0;12403.0;12429;12246;47;19;17445
species_pnpmle;12304.0;12289.0;12447.0;12429;12246;47;19;17445
species_unpmle;12346.0;12348.0;12361.0;12429;12246;47;19;17445
zelterman;22085.6020285272;14436.0905724073;29735.1134846472;12429;12246;47;19;17445
