estimator;estimate_S;CILower;CIUpper;total_mutants;killed_mutants_Sn;f1;f2;n_samples
bootstrap;3981.83391996899;3945.12894130027;4018.5388986377;4365;3566;437;362;5630
chao2;3829.72248633504;3772.48071823699;3902.83314545095;4365;3566;437;362;5630
chao2_corrected;3828.39415664802;3741.30288200119;3958.75277540823;4365;3566;437;362;5630
chao_lower;3829.76933701657;3602.58879952718;5467.51806151742;4365;3566;437;362;5630
chao_upperbound;0.0;3725.25630969789;4002.85369000028;4365;3566;437;362;5630
ice;6365.8621325595;;;4365;3566;437;362;5630
jack_our;4077.96002410128;3977.62327948389;4178.29676871866;4365;3566;437;362;5630
species_chaobunge;3812.0;3762.0;3864.0;4365;3566;437;362;5630
species_jackknife;4078.0;3978.0;4178.0;4365;3566;437;362;5630
species_pcg;4118.0;3882.0;4450.0;4365;3566;437;362;5630
species_pnpmle;5733.0;5652.0;6255.0;4365;3566;437;362;5630
species_unpmle;3934.0;3881.0;4389.0;4365;3566;437;362;5630
zelterman;4406.59189921458;4158.69168637999;4654.49211204917;4365;3566;437;362;5630
