estimator;estimate_S;CILower;CIUpper;total_mutants;killed_mutants_Sn;f1;f2;n_samples
bootstrap;3599.01977173596;3565.06918011138;3632.97036336053;4161;3212;374;357;5294
chao2;3407.86775684962;3362.10713429302;3467.57864623818;4161;3212;374;357;5294
chao2_corrected;3406.79839250928;3337.9145877724;3513.36630231272;4161;3212;374;357;5294
chao_lower;3407.90476190476;3239.09864722463;4628.25799320649;4161;3212;374;357;5294
chao_upperbound;0.0;3327.28409121128;3544.90521569619;4161;3212;374;357;5294
ice;4778.02837565854;;;4161;3212;374;357;5294
jack_our;3585.92935398564;3532.33175450509;3639.5269534662;4161;3212;374;357;5294
species_chaobunge;3399.0;3358.0;3441.0;4161;3212;374;357;5294
species_jackknife;3586.0;3532.0;3640.0;4161;3212;374;357;5294
species_pcg;3510.0;3491.0;3690.0;4161;3212;374;357;5294
species_pnpmle;5190.0;5141.0;5626.0;4161;3212;374;357;5294
species_unpmle;3455.0;3419.0;3785.0;4161;3212;374;357;5294
zelterman;3770.90492336973;3582.42651829447;3959.38332844498;4161;3212;374;357;5294
