estimator;estimate_S;CILower;CIUpper;total_mutants;killed_mutants_Sn;f1;f2;n_samples
bootstrap;15034.7391831957;14917.0069079542;15152.4714584372;18333;13509;1588;1301;17493
chao2;14478.1006313143;14361.0895273824;14611.1799980325;18333;13509;1588;1301;17493
chao2_corrected;14476.7465182255;14291.0709907255;14706.5042350934;18333;13509;1588;1301;17493
chao_lower;14478.1560338201;13644.937771153;20418.5102113533;18333;13509;1588;1301;17493
chao_upperbound;0.0;14249.9427235852;14776.6599526413;18333;13509;1588;1301;17493
ice;30977.258340833;;;18333;13509;1588;1301;17493
jack_our;15383.9507760603;15192.6481964789;15575.2533556418;18333;13509;1588;1301;17493
species_chaobunge;14417.0;14319.0;14517.0;18333;13509;1588;1301;17493
species_jackknife;15384.0;15193.0;15575.0;18333;13509;1588;1301;17493
species_pcg;15518.0;14521.0;15771.0;18333;13509;1588;1301;17493
species_pnpmle;15610.0;14661.0;15513.0;18333;13509;1588;1301;17493
species_unpmle;15221.0;14687.0;15349.0;18333;13509;1588;1301;17493
zelterman;16766.0301436897;16264.833309976;17267.2269774033;18333;13509;1588;1301;17493
