estimator;estimate_S;CILower;CIUpper;total_mutants;killed_mutants_Sn;f1;f2;n_samples
bootstrap;5324.89559867424;5320.12874252446;5329.66245482402;5325;5322;2;4;4126
chao2;5322.49987881726;5322.04005927402;5328.23772741862;5325;5322;2;4;4126
chao2_corrected;5322.1999515269;5322.00605137591;5328.60686324675;5325;5322;2;4;4126
chao_lower;5322.5;5322.00560513935;5366.6019241511;5325;5322;2;4;4126
chao_upperbound;0.0;5322.01791899653;5324.57437490136;5325;5322;2;4;4126
ice;5332.55624404459;5317.69148289663;5347.42100519254;5325;5322;2;4;4126
jack_our;5323.99951526903;5320.08022783076;5327.9188027073;5325;5322;2;4;4126
species_chaobunge;5323.0;5321.0;5324.0;5325;5322;2;4;4126
species_jackknife;5324.0;5320.0;5328.0;5325;5322;2;4;4126
species_pcg;5322.0;;;5325;5322;2;4;4126
zelterman;5421.29447185601;4734.25969296468;6108.32925074734;5325;5322;2;4;4126
