estimator;estimate_S;CILower;CIUpper;total_mutants;killed_mutants_Sn;f1;f2;n_samples
bootstrap;330.135162378584;316.830654534002;343.439670223166;422;279;63;43;365
chao2;325.024721248805;303.537146334077;365.329312186086;422;279;63;43;365
chao2_corrected;323.264757160648;295.151577477437;400.311291682082;422;279;63;43;365
chao_lower;325.151162790698;284.861515140045;642.375300761792;422;279;63;43;365
chao_upperbound;0.0;291.807039225365;402.459295612864;422;279;63;43;365
ice;550.601535562264;449.800217856998;651.402853267531;422;279;63;43;365
jack_our;361.835292789402;323.876766007379;399.793819571426;422;279;63;43;365
species_chaobunge;364.0;313.0;433.0;422;279;63;43;365
species_jackknife;342.0;320.0;364.0;422;279;63;43;365
species_pcg;111758.0;111763.0;111812.0;422;279;63;43;365
species_pnpmle;339.0;316.0;447.0;422;279;63;43;365
species_unpmle;337.0;318.0;428.0;422;279;63;43;365
zelterman;374.677902140906;303.137649766598;446.218154515213;422;279;63;43;365
