estimator;estimate_S;CILower;CIUpper;total_mutants;killed_mutants_Sn;f1;f2;n_samples
bootstrap;5907.05484436585;4467.96395289648;7346.14573583521;4691;4688;1056;1163;4501
chao2;5167.31566941368;5096.21310025599;5250.80288604509;4691;4688;1056;1163;4501
chao2_corrected;5166.45037872455;5055.94745817696;5310.13981864652;4691;4688;1056;1163;4501
chao_lower;5167.42218400688;4755.08723382079;8114.07106341469;4691;4688;1056;1163;4501
chao_upperbound;0.0;4690.94492187528;4690.99961780418;4691;4688;1056;1163;4501
ice;11207.6647785298;;;4691;4688;1056;1163;4501
jack_our;5743.7653854699;5653.70565243283;5833.82511850696;4691;4688;1056;1163;4501
species_chaobunge;5494.0;5387.0;5610.0;4691;4688;1056;1163;4501
species_jackknife;5744.0;5654.0;5834.0;4691;4688;1056;1163;4501
species_pcg;5213.0;5175.0;5384.0;4691;4688;1056;1163;4501
species_unpmle;5224.0;5199.0;5446.0;4691;4688;1056;1163;4501
zelterman;5270.4343939478;5140.22611980432;5400.64266809127;4691;4688;1056;1163;4501
