estimator;estimate_S;CILower;CIUpper;total_mutants;killed_mutants_Sn;f1;f2;n_samples
bootstrap;14969.132939804;11575.7883692838;18362.4775103243;13643;13417;75;3510;11949
chao2;13417.8012149928;13417.1338278086;13421.7968017359;13643;13417;75;3510;11949
chao2_corrected;13417.7903069675;13417.1219641593;13422.121054467;13643;13417;75;3510;11949
chao_lower;13417.8012820513;13417.040963455;13432.6737981616;13643;13417;75;3510;11949
chao_upperbound;0.0;13417.0577780192;13428.1090837477;13643;13417;75;3510;11949
ice;15096.565992833;;;13643;13417;75;3510;11949
jack_our;13491.9937233241;13467.9902305661;13515.9972160821;13643;13417;75;3510;11949
species_chaobunge;13439.0;13428.0;13449.0;13643;13417;75;3510;11949
species_jackknife;13492.0;13468.0;13516.0;13643;13417;75;3510;11949
species_pcg;6403853.0;6404158.0;6404577.0;13643;13417;75;3510;11949
species_pnpmle;23298.0;23269.0;23619.0;13643;13417;75;3510;11949
species_unpmle;13778.0;13780.0;13812.0;13643;13417;75;3510;11949
zelterman;13417.0;13417.0;13417.0;13643;13417;75;3510;11949
