subject,testsuite,type,total_mutants,killed,estimator,estimation,CILower,CIUpper,MEstimate,MLower,MUpper
commons-collections,organic,classes,8309,6249,ICE_all_rare,21771.7815102404,18803.4584332207,24740.1045872602,8288.4,8196.813666092314,8308.478519172066
commons-collections,organic,classes,8309,6249,Zelterman,12180.5706144182,11610.3808178489,12750.7604109874,8288.4,8196.813666092314,8308.478519172066
commons-collections,organic,classes,8309,6249,Jackknife,14387.0,13710.0,15064.0,8288.4,8196.813666092314,8308.478519172066
commons-collections,organic,classes,8309,6249,Chao,11195.384,10771.094,11659.485,8288.4,8196.813666092314,8308.478519172066
commons-collections,organic,classes,8309,6249,Chao_bias_corrected,11190.166,10766.389,11653.699,8288.4,8196.813666092314,8308.478519172066
commons-collections,organic,classes,8309,6249,improved_Chao,12181.634,11873.437,12506.718,8288.4,8196.813666092314,8308.478519172066
commons-collections,organic,classes,8309,6249,ICE,12474.379,12014.291,12971.183,8288.4,8196.813666092314,8308.478519172066
commons-collections,organic,classes,8309,6249,improved_ICE,16045.755,15140.703,17042.927,8288.4,8196.813666092314,8308.478519172066
commons-collections,organic,methods,8309,6249,Zelterman,10131.9230599794,9575.83522921967,10688.0108907391,8288.4,8196.813666092314,8308.478519172066
commons-collections,organic,methods,8309,6249,Chao_Bunge,8463.0,8144.0,8808.0,8288.4,8196.813666092314,8308.478519172066
commons-collections,organic,methods,8309,6249,Jackknife,9041.0,8741.0,9341.0,8288.4,8196.813666092314,8308.478519172066
commons-collections,organic,methods,8309,6249,Chao,7829.527,7632.074,8055.17,8288.4,8196.813666092314,8308.478519172066
commons-collections,organic,methods,8309,6249,Chao_bias_corrected,7826.315,7629.278,8051.48,8288.4,8196.813666092314,8308.478519172066
commons-collections,organic,methods,8309,6249,improved_Chao,8117.602,7970.177,8277.653,8288.4,8196.813666092314,8308.478519172066
commons-collections,organic,methods,8309,6249,ICE,7571.352,7439.042,7718.372,8288.4,8196.813666092314,8308.478519172066
commons-collections,organic,methods,8309,6249,improved_ICE,7990.586,7798.18,8206.888,8288.4,8196.813666092314,8308.478519172066
commons-collections,random,classes,8309,4761,ICE_all_rare,20661.5509392874,17285.5784293063,24037.5234492686,8288.4,8196.813666092314,8308.478519172066
commons-collections,random,classes,8309,4761,Zelterman,10756.1968752928,10119.3041867902,11393.0895637954,8288.4,8196.813666092314,8308.478519172066
commons-collections,random,classes,8309,4761,Chao_Bunge,-19722.0,-11998.0,-31035.0,8288.4,8196.813666092314,8308.478519172066
commons-collections,random,classes,8309,4761,Jackknife,13668.0,12773.0,14563.0,8288.4,8196.813666092314,8308.478519172066
commons-collections,random,classes,8309,4761,Chao,9892.239,9399.237,10437.643,8288.4,8196.813666092314,8308.478519172066
commons-collections,random,classes,8309,4761,Chao_bias_corrected,9884.713,9392.596,10429.118,8288.4,8196.813666092314,8308.478519172066
commons-collections,random,classes,8309,4761,improved_Chao,11019.229,10635.74,11427.752,8288.4,8196.813666092314,8308.478519172066
commons-collections,random,classes,8309,4761,ICE,11096.7,10555.045,11688.991,8288.4,8196.813666092314,8308.478519172066
commons-collections,random,classes,8309,4761,improved_ICE,15153.358,14000.655,16449.866,8288.4,8196.813666092314,8308.478519172066
commons-collections,random,methods,8309,4761,ICE_all_rare,21460.2903635744,14296.1908915083,28624.3898356405,8288.4,8196.813666092314,8308.478519172066
commons-collections,random,methods,8309,4761,Zelterman,6636.21331630801,6356.85007595422,6915.5765566618,8288.4,8196.813666092314,8308.478519172066
commons-collections,random,methods,8309,4761,Chao_Bunge,7731.0,7280.0,8244.0,8288.4,8196.813666092314,8308.478519172066
commons-collections,random,methods,8309,4761,Jackknife,6939.0,6747.0,7131.0,8288.4,8196.813666092314,8308.478519172066
commons-collections,random,methods,8309,4761,Chao,6020.342,5868.598,6192.875,8288.4,8196.813666092314,8308.478519172066
commons-collections,random,methods,8309,4761,Chao_bias_corrected,6018.301,5866.788,6190.574,8288.4,8196.813666092314,8308.478519172066
commons-collections,random,methods,8309,4761,improved_Chao,6334.509,6245.439,6428.925,8288.4,8196.813666092314,8308.478519172066
commons-collections,random,methods,8309,4761,ICE,6383.832,6226.721,6557.784,8288.4,8196.813666092314,8308.478519172066
commons-collections,random,methods,8309,4761,improved_ICE,6935.379,6698.51,7201.207,8288.4,8196.813666092314,8308.478519172066
commons-collections,dynamosa,classes,8309,7762,ICE_all_rare,15595.3871266418,13692.0958196491,17498.6784336345,8288.4,8196.813666092314,8308.478519172066
commons-collections,dynamosa,classes,8309,7762,Zelterman,9147.28666271754,8975.58719475445,9318.98613068063,8288.4,8196.813666092314,8308.478519172066
commons-collections,dynamosa,classes,8309,7762,Chao_Bunge,11381.0,10963.0,11852.0,8288.4,8196.813666092314,8308.478519172066
commons-collections,dynamosa,classes,8309,7762,Jackknife,11181.0,10908.0,11454.0,8288.4,8196.813666092314,8308.478519172066
commons-collections,dynamosa,classes,8309,7762,Chao,9470.143,9321.879,9632.5,8288.4,8196.813666092314,8308.478519172066
commons-collections,dynamosa,classes,8309,7762,Chao_bias_corrected,9469.056,9320.869,9631.331,8288.4,8196.813666092314,8308.478519172066
commons-collections,dynamosa,classes,8309,7762,improved_Chao,9470.143,9321.879,9632.5,8288.4,8196.813666092314,8308.478519172066
commons-collections,dynamosa,classes,8309,7762,ICE,10623.617,10394.449,10872.735,8288.4,8196.813666092314,8308.478519172066
commons-collections,dynamosa,classes,8309,7762,improved_ICE,11001.236,10693.632,11341.116,8288.4,8196.813666092314,8308.478519172066
commons-collections,dynamosa,methods,8309,7762,Zelterman,12281.8428136992,11795.2450865448,12768.4405408536,8288.4,8196.813666092314,8308.478519172066
commons-collections,dynamosa,methods,8309,7762,Chao_Bunge,13329.0,12638.0,14102.0,8288.4,8196.813666092314,8308.478519172066
commons-collections,dynamosa,methods,8309,7762,Jackknife,14911.0,13790.0,16032.0,8288.4,8196.813666092314,8308.478519172066
commons-collections,dynamosa,methods,8309,7762,Chao,10577.465,10315.455,10866.359,8288.4,8196.813666092314,8308.478519172066
commons-collections,dynamosa,methods,8309,7762,Chao_bias_corrected,10574.466,10312.742,10863.045,8288.4,8196.813666092314,8308.478519172066
commons-collections,dynamosa,methods,8309,7762,improved_Chao,11271.061,11112.663,11436.946,8288.4,8196.813666092314,8308.478519172066
commons-collections,dynamosa,methods,8309,7762,ICE,10673.04,10454.055,10909.838,8288.4,8196.813666092314,8308.478519172066
commons-collections,dynamosa,methods,8309,7762,improved_ICE,11689.229,11353.35,12056.521,8288.4,8196.813666092314,8308.478519172066
commons-compress,organic,classes,9566,6258,ICE_all_rare,9175.57179339547,8878.26482514383,9472.87876164712,9532.92,9385.848353122998,9565.16259292291
commons-compress,organic,classes,9566,6258,Zelterman,8585.51606693372,8258.25427654833,8912.7778573191,9532.92,9385.848353122998,9565.16259292291
commons-compress,organic,classes,9566,6258,Chao_Bunge,8072.0,7864.0,8300.0,9532.92,9385.848353122998,9565.16259292291
commons-compress,organic,classes,9566,6258,Jackknife,8659.0,8456.0,8862.0,9532.92,9385.848353122998,9565.16259292291
commons-compress,organic,classes,9566,6258,Chao,7613.191,7458.294,7788.078,9532.92,9385.848353122998,9565.16259292291
commons-compress,organic,classes,9566,6258,Chao_bias_corrected,7611.267,7456.574,7785.926,9532.92,9385.848353122998,9565.16259292291
commons-compress,organic,classes,9566,6258,improved_Chao,7945.402,7852.03,8044.244,9532.92,9385.848353122998,9565.16259292291
commons-compress,organic,classes,9566,6258,ICE,7572.553,7450.468,7707.137,9532.92,9385.848353122998,9565.16259292291
commons-compress,organic,classes,9566,6258,improved_ICE,7873.725,7711.811,8053.671,9532.92,9385.848353122998,9565.16259292291
commons-compress,organic,methods,9566,6258,ICE_all_rare,8769.84536502233,8446.52880726859,9093.16192277606,9532.92,9385.848353122998,9565.16259292291
commons-compress,organic,methods,9566,6258,Zelterman,8557.8985907195,8129.45910691652,8986.33807452248,9532.92,9385.848353122998,9565.16259292291
commons-compress,organic,methods,9566,6258,Chao_Bunge,7266.0,7111.0,7427.0,9532.92,9385.848353122998,9565.16259292291
commons-compress,organic,methods,9566,6258,Jackknife,7554.0,7405.0,7703.0,9532.92,9385.848353122998,9565.16259292291
commons-compress,organic,methods,9566,6258,Chao,6991.69,6880.286,7123.039,9532.92,9385.848353122998,9565.16259292291
commons-compress,organic,methods,9566,6258,Chao_bias_corrected,6989.776,6878.641,7120.811,9532.92,9385.848353122998,9565.16259292291
commons-compress,organic,methods,9566,6258,improved_Chao,7169.891,7093.563,7253.192,9532.92,9385.848353122998,9565.16259292291
commons-compress,organic,methods,9566,6258,ICE,6973.718,6887.225,7072.101,9532.92,9385.848353122998,9565.16259292291
commons-compress,organic,methods,9566,6258,improved_ICE,7147.427,7032.247,7279.742,9532.92,9385.848353122998,9565.16259292291
commons-compress,random,classes,9566,4239,ICE_all_rare,9990.39283156043,9132.34013962359,10848.4455234973,9532.92,9385.848353122998,9565.16259292291
commons-compress,random,classes,9566,4239,Zelterman,7117.35233279056,6770.08298376128,7464.62168181984,9532.92,9385.848353122998,9565.16259292291
commons-compress,random,classes,9566,4239,Chao_Bunge,14904.0,11954.0,18976.0,9532.92,9385.848353122998,9565.16259292291
commons-compress,random,classes,9566,4239,Jackknife,8415.0,8049.0,8781.0,9532.92,9385.848353122998,9565.16259292291
commons-compress,random,classes,9566,4239,Chao,6780.386,6518.727,7072.077,9532.92,9385.848353122998,9565.16259292291
commons-compress,random,classes,9566,4239,Chao_bias_corrected,6776.863,6515.588,7068.124,9532.92,9385.848353122998,9565.16259292291
commons-compress,random,classes,9566,4239,improved_Chao,7412.631,7247.323,7587.024,9532.92,9385.848353122998,9565.16259292291
commons-compress,random,classes,9566,4239,ICE,7555.311,7252.155,7888.967,9532.92,9385.848353122998,9565.16259292291
commons-compress,random,classes,9566,4239,improved_ICE,8878.876,8358.652,9464.794,9532.92,9385.848353122998,9565.16259292291
commons-compress,random,methods,9566,4239,ICE_all_rare,10974.8060559113,10121.7735825252,11827.8385292974,9532.92,9385.848353122998,9565.16259292291
commons-compress,random,methods,9566,4239,Zelterman,5203.06462775503,5015.79236412806,5390.33689138199,9532.92,9385.848353122998,9565.16259292291
commons-compress,random,methods,9566,4239,Chao_Bunge,5255.0,5114.0,5410.0,9532.92,9385.848353122998,9565.16259292291
commons-compress,random,methods,9566,4239,Jackknife,5506.0,5347.0,5665.0,9532.92,9385.848353122998,9565.16259292291
commons-compress,random,methods,9566,4239,Chao,4888.277,4795.031,4997.16,9532.92,9385.848353122998,9565.16259292291
commons-compress,random,methods,9566,4239,Chao_bias_corrected,4886.982,4793.895,4995.686,9532.92,9385.848353122998,9565.16259292291
commons-compress,random,methods,9566,4239,improved_Chao,4935.521,4875.519,5001.18,9532.92,9385.848353122998,9565.16259292291
commons-compress,random,methods,9566,4239,ICE,5027.46,4936.36,5130.462,9532.92,9385.848353122998,9565.16259292291
commons-compress,random,methods,9566,4239,improved_ICE,5167.822,5052.672,5299.268,9532.92,9385.848353122998,9565.16259292291
commons-compress,dynamosa,classes,9566,4719,ICE_all_rare,9690.49457822639,8657.75124873037,10723.2379077224,9532.92,9385.848353122998,9565.16259292291
commons-compress,dynamosa,classes,9566,4719,Zelterman,7944.47290787923,7566.88603020896,8322.05978554951,9532.92,9385.848353122998,9565.16259292291
commons-compress,dynamosa,classes,9566,4719,Chao_Bunge,9152.0,8393.0,10066.0,9532.92,9385.848353122998,9565.16259292291
commons-compress,dynamosa,classes,9566,4719,Jackknife,12273.0,11276.0,13270.0,9532.92,9385.848353122998,9565.16259292291
commons-compress,dynamosa,classes,9566,4719,Chao,7401.719,7131.969,7701.626,9532.92,9385.848353122998,9565.16259292291
commons-compress,dynamosa,classes,9566,4719,Chao_bias_corrected,7398.175,7128.802,7697.658,9532.92,9385.848353122998,9565.16259292291
commons-compress,dynamosa,classes,9566,4719,improved_Chao,7956.245,7796.123,8124.7,9532.92,9385.848353122998,9565.16259292291
commons-compress,dynamosa,classes,9566,4719,ICE,7391.826,7142.049,7667.35,9532.92,9385.848353122998,9565.16259292291
commons-compress,dynamosa,classes,9566,4719,improved_ICE,8005.054,7633.549,8423.914,9532.92,9385.848353122998,9565.16259292291
commons-compress,dynamosa,methods,9566,4719,ICE_all_rare,10181.8002879026,8452.0889299109,11911.5116458944,9532.92,9385.848353122998,9565.16259292291
commons-compress,dynamosa,methods,9566,4719,Zelterman,5782.18527971432,5557.19818370489,6007.17237572376,9532.92,9385.848353122998,9565.16259292291
commons-compress,dynamosa,methods,9566,4719,Chao_Bunge,5402.0,5305.0,5506.0,9532.92,9385.848353122998,9565.16259292291
commons-compress,dynamosa,methods,9566,4719,Jackknife,7816.0,6964.0,8668.0,9532.92,9385.848353122998,9565.16259292291
commons-compress,dynamosa,methods,9566,4719,Chao,5246.76,5163.564,5345.524,9532.92,9385.848353122998,9565.16259292291
commons-compress,dynamosa,methods,9566,4719,Chao_bias_corrected,5245.474,5162.451,5344.04,9532.92,9385.848353122998,9565.16259292291
commons-compress,dynamosa,methods,9566,4719,improved_Chao,5304.789,5260.089,5353.181,9532.92,9385.848353122998,9565.16259292291
commons-compress,dynamosa,methods,9566,4719,ICE,5278.889,5209.173,5358.52,9532.92,9385.848353122998,9565.16259292291
commons-compress,dynamosa,methods,9566,4719,improved_ICE,5364.888,5280.721,5461.667,9532.92,9385.848353122998,9565.16259292291
commons-configuration,organic,classes,6279,6219,ICE_all_rare,6255.70305695177,6243.43700329807,6267.96911060547,6276.6,6273.044570597241,6278.339730360829
commons-configuration,organic,classes,6279,6219,Zelterman,6219.02589979247,6218.69085130184,6219.3609482831,6276.6,6273.044570597241,6278.339730360829
commons-configuration,organic,classes,6279,6219,Chao_Bunge,6223.0,6219.0,6227.0,6276.6,6273.044570597241,6278.339730360829
commons-configuration,organic,classes,6279,6219,Jackknife,6255.0,6238.0,6272.0,6276.6,6273.044570597241,6278.339730360829
commons-configuration,organic,classes,6279,6219,Chao,6221.887,6219.863,6228.662,6276.6,6273.044570597241,6278.339730360829
commons-configuration,organic,classes,6279,6219,Chao_bias_corrected,6221.795,6219.822,6228.5,6276.6,6273.044570597241,6278.339730360829
commons-configuration,organic,classes,6279,6219,improved_Chao,6221.887,6219.863,6228.662,6276.6,6273.044570597241,6278.339730360829
commons-configuration,organic,classes,6279,6219,ICE,6224.091,6221.091,6231.396,6276.6,6273.044570597241,6278.339730360829
commons-configuration,organic,classes,6279,6219,improved_ICE,6224.091,6221.091,6231.396,6276.6,6273.044570597241,6278.339730360829
commons-configuration,organic,methods,6279,6219,ICE_all_rare,6222.91077160969,6215.24025053976,6230.58129267962,6276.6,6273.044570597241,6278.339730360829
commons-configuration,organic,methods,6279,6219,Zelterman,6219.00069985633,6218.94386260989,6219.05753710277,6276.6,6273.044570597241,6278.339730360829
commons-configuration,organic,methods,6279,6219,Chao_Bunge,6219.0,6219.0,6219.0,6276.6,6273.044570597241,6278.339730360829
commons-configuration,organic,methods,6279,6219,Jackknife,6220.0,6217.0,6223.0,6276.6,6273.044570597241,6278.339730360829
commons-configuration,organic,methods,6279,6219,Chao,6219.062,6219.002,6220.916,6276.6,6273.044570597241,6278.339730360829
commons-configuration,organic,methods,6279,6219,Chao_bias_corrected,6219.0,6219.0,6223.014,6276.6,6273.044570597241,6278.339730360829
commons-configuration,organic,methods,6279,6219,improved_Chao,6219.062,6219.002,6220.916,6276.6,6273.044570597241,6278.339730360829
commons-configuration,organic,methods,6279,6219,ICE,6219.114,6219.006,6221.338,6276.6,6273.044570597241,6278.339730360829
commons-configuration,organic,methods,6279,6219,improved_ICE,6219.114,6219.006,6221.338,6276.6,6273.044570597241,6278.339730360829
commons-configuration,random,classes,6279,2429,ICE_all_rare,8022.05921236484,7119.41385928808,8924.7045654416,6276.6,6273.044570597241,6278.339730360829
commons-configuration,random,classes,6279,2429,Zelterman,6166.25081570115,5568.60065740065,6763.90097400166,6276.6,6273.044570597241,6278.339730360829
commons-configuration,random,classes,6279,2429,Chao_Bunge,-4670.0,-3081.0,-6736.0,6276.6,6273.044570597241,6278.339730360829
commons-configuration,random,classes,6279,2429,Jackknife,7169.0,6576.0,7762.0,6276.6,6273.044570597241,6278.339730360829
commons-configuration,random,classes,6279,2429,Chao,5110.193,4724.627,5560.517,6276.6,6273.044570597241,6278.339730360829
commons-configuration,random,classes,6279,2429,Chao_bias_corrected,5100.303,4716.55,5548.435,6276.6,6273.044570597241,6278.339730360829
commons-configuration,random,classes,6279,2429,improved_Chao,5617.574,5302.044,5967.758,6276.6,6273.044570597241,6278.339730360829
commons-configuration,random,classes,6279,2429,ICE,5266.195,4943.312,5630.543,6276.6,6273.044570597241,6278.339730360829
commons-configuration,random,classes,6279,2429,improved_ICE,7750.545,6997.902,8627.172,6276.6,6273.044570597241,6278.339730360829
