estimator,mean,std
ICE_all_rare,15882.519352223788,50081.70438559893
Zelterman,3104.6459096321555,5364.810974495373
Chao_Bunge,8400.58625949737,16336.40884377718
Jackknife,3665.6616666666664,5913.139377302597
Chao,3105.0293156956004,4971.097442432933
Chao_bias_corrected,3104.932608799049,4969.9759848064095
improved_Chao,3207.284384661117,5236.471333450028
ICE,3626.906953626635,5776.980474307451
improved_ICE,4999.475626040427,9670.084357364309
PCG,5064.436428106702,7495.012137482563
Bootstrap,3329.252930601802,4677.073067766622
Unpmle,4348.656222222222,7150.638287364217
Pnpmle,5068.016730769231,8098.838169127639
