estimator,mae,mae_total,mape,mse,rsme,std,std_total,stdp,nValid
Bootstrap,2376.25,36.53,36.67,8332939.68,2886.68,1727.68,23.15,23.15,10
ICE_k0,7048.14,80.08,81.22,111868387.06,10576.79,8364.57,69.32,71.34,9
Chao,2926.38,36.91,37.07,12627074.8,3553.46,2124.81,21.17,21.16,10
ICE,3335.2,36.52,36.69,21722665.66,4660.76,3431.74,19.65,19.64,10
ICE-1,4318.58,36.28,36.52,59481902.92,7712.45,6735.63,18.14,18.17,10
iChao,3210.52,35.96,36.13,18995849.1,4358.42,3107.06,20.0,19.98,10
Chao_Bunge,9063.17,42.01,42.5,538173691.29,23198.57,22510.06,41.81,42.64,10
Jackknife,3715.27,32.82,33.06,38753745.69,6225.25,5265.24,18.3,18.29,10
PCG,2890.87,33.51,33.67,14479606.74,3805.21,2608.21,21.42,21.44,10
Pnpmle,2884.77,33.81,33.97,14450751.62,3801.41,2609.57,20.25,20.25,10
Unpmle,3185.95,37.59,37.76,16098280.23,4012.27,2586.8,17.71,17.69,9
Zelterman,3271.36,32.45,32.62,23528581.78,4850.63,3775.18,19.58,19.56,10
