estimator,mae,mae_total,mape,mse,rsme,std,std_total,stdp,nValid
Bootstrap,2133.33,30.8,30.9,6632601.36,2575.38,1520.78,22.95,22.96,10
ICE_k0,4158.94,60.92,61.08,38893499.35,6236.47,4968.09,64.93,65.05,8
Chao,1471.22,26.15,26.29,3282223.35,1811.69,1114.42,33.18,33.25,10
ICE,2376.95,29.53,29.67,9931691.09,3151.46,2181.18,29.86,29.9,10
ICE-1,4501.71,52.18,52.4,41197188.11,6418.5,4822.61,60.99,61.1,10
iChao,1630.7,27.55,27.69,4317891.23,2077.95,1357.58,40.65,40.74,10
Chao_Bunge,6535.94,26.97,27.33,103293926.88,10163.36,8987.06,25.82,25.94,4
Jackknife,2850.71,32.94,33.07,17754450.0,4213.6,3270.73,44.56,44.67,10
PCG,2340.93,24.23,24.29,10073399.9,3173.86,2314.96,29.22,29.25,7
Pnpmle,2630.97,23.24,23.63,14827688.61,3850.67,2982.27,24.12,24.9,9
Unpmle,3417.57,34.78,34.89,34940871.14,5911.08,5209.4,63.75,63.89,7
Zelterman,1515.24,25.26,25.41,4081450.47,2020.26,1408.5,38.91,39.01,10
